Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,T.J. Houshmandzadeh*,CIN,30,WR,2007,16,15,169,112,66.30%,1143,10.2,12,69,56.8,42,6.8,7,71.4,2,HousTJ00
2,Wes Welker,NWE,26,WR,2007,16,13,145,112,77.20%,1175,10.5,8,65,66.2,42,8.1,7,73.4,3,WelkWe00
3,Reggie Wayne*,IND,29,WR,2007,16,16,156,104,66.70%,1510,14.5,10,72,61.5,64,9.7,6.5,94.4,3,WaynRe00
4,Derrick Mason,BAL,33,WR,2007,16,16,164,103,62.80%,1087,10.6,5,58,50,79,6.6,6.4,67.9,1,MasoDe00
5,Brandon Marshall,DEN,23,WR,2007,16,16,170,102,60.00%,1325,13,7,71,52.4,68,7.8,6.4,82.8,3,MarsBr00
6,Larry Fitzgerald*,ARI,24,WR,2007,15,15,167,100,59.90%,1409,14.1,10,70,55.1,48,8.4,6.7,93.9,3,FitzLa00
7,Tony Gonzalez*,KAN,31,TE,2007,16,16,153,99,64.70%,1172,11.8,5,59,52.3,31,7.7,6.2,73.3,0,GonzTo00
8,Marques Colston,NOR,24,WR,2007,16,14,143,98,68.50%,1202,12.3,11,64,61.5,45,8.4,6.1,75.1,1,ColsMa00
9,Randy Moss*+,NWE,30,WR,2007,16,16,160,98,61.30%,1493,15.2,23,74,58.8,65,9.3,6.1,93.3,0,MossRa00
10,Jason Witten*+,DAL,25,TE,2007,16,16,141,96,68.10%,1145,11.9,7,56,58.2,53,8.1,6,71.6,1,WittJa00
11,Bobby Engram,SEA,34,WR,2007,16,13,134,94,70.10%,1147,12.2,6,62,62.7,49,8.6,5.9,71.7,1,EngrBo00
12,Torry Holt*,STL,31,WR,2007,16,16,149,93,62.40%,1189,12.8,7,62,56.4,40,8,5.8,74.3,2,HoltTo00
13,Chad Johnson*,CIN,29,WR,2007,16,16,161,93,57.80%,1440,15.5,8,74,55.3,70,8.9,5.8,90,2,JohnCh01
14,Brian Westbrook*+,PHI,28,RB,2007,15,15,118,90,76.30%,771,8.6,5,32,50,57,6.5,6,51.4,2,WestBr00
15,Steve Smith Sr.,CAR,28,WR,2007,15,15,148,87,58.80%,1002,11.5,7,45,44.6,74,6.8,5.8,66.8,1,SmitSt01
16,Roddy White,ATL,26,WR,2007,16,15,137,83,60.60%,1202,14.5,6,52,51.1,69,8.8,5.2,75.1,3,WhitRo00
17,Jerricho Cotchery,NYJ,25,WR,2007,15,15,127,82,64.60%,1130,13.8,2,50,52,50,8.9,5.5,75.3,1,CotcJe00
18,Donald Driver*,GNB,32,WR,2007,15,14,122,82,67.20%,1048,12.8,2,49,60.7,47,8.6,5.5,69.9,1,DrivDo00
19,Kellen Winslow*,CLE,24,TE,2007,16,14,148,82,55.40%,1106,13.5,5,56,48.6,49,7.5,5.1,69.1,2,WinsKe01
20,Terrell Owens*+,DAL,34,WR,2007,15,15,141,81,57.40%,1355,16.7,15,67,54.6,52,9.6,5.4,90.3,0,OwenTe00
21,Braylon Edwards*,CLE,24,WR,2007,16,16,154,80,51.90%,1289,16.1,16,56,48.7,78,8.4,5,80.6,3,EdwaBr00
22,Shaun McDonald,DET,26,WR,2007,16,7,127,79,62.20%,943,11.9,6,47,53.5,49,7.4,4.9,58.9,3,McDoSh00
23,Kevin Curtis,PHI,29,WR,2007,16,16,135,77,57.00%,1110,14.4,6,49,51.1,75,8.2,4.8,69.4,0,CurtKe00
24,Antonio Gates*,SDG,27,TE,2007,16,16,117,75,64.10%,984,13.1,9,55,55.6,49,8.4,4.7,61.5,0,GateAn00
25,Reggie Bush,NOR,22,RB,2007,12,10,98,73,74.50%,417,5.7,2,23,44.9,25,4.3,6.1,34.8,8,BushRe00
26,Bernard Berrian,CHI,27,WR,2007,16,15,128,71,55.50%,951,13.4,5,48,48.4,59,7.4,4.4,59.4,1,BerrBe00
27,Anquan Boldin,ARI,27,WR,2007,12,11,99,71,71.70%,853,12,9,43,58.6,44,8.6,5.9,71.1,2,BoldAn00
28,Hines Ward,PIT,31,WR,2007,13,13,113,71,62.80%,732,10.3,7,47,54.9,25,6.5,5.5,56.3,0,WardHi00
29,Dwayne Bowe,KAN,23,WR,2007,16,15,116,70,60.30%,995,14.2,5,52,56,58,8.6,4.4,62.2,0,BoweDw00
30,Plaxico Burress,NYG,30,WR,2007,16,16,141,70,49.60%,1025,14.6,12,50,45.4,60,7.3,4.4,64.1,0,BurrPl00
31,Chris Chambers,2TM,29,WR,2007,16,12,129,66,51.20%,970,14.7,4,0,0,44,7.5,4.1,60.6,1,ChamCh00
32,Chris Cooley*,WAS,25,TE,2007,16,16,110,66,60.00%,786,11.9,8,46,50,39,7.1,4.1,49.1,1,CoolCh00
33,Kevin Walter,HOU,26,WR,2007,16,15,106,65,61.30%,800,12.3,4,43,54.7,46,7.5,4.1,50,0,WaltKe00
34,Roy Williams,DET,26,WR,2007,12,12,105,64,61.00%,838,13.1,5,34,51.4,91,8,5.3,69.8,2,WillRo04
35,Owen Daniels,HOU,25,TE,2007,16,16,94,63,67.00%,768,12.2,3,44,61.7,29,8.2,3.9,48,4,DaniOw00
36,Ike Hilliard,TAM,31,WR,2007,15,10,86,62,72.10%,722,11.6,1,37,61.6,56,8.4,4.1,48.1,3,HillIk00
37,Reggie Brown,PHI,26,WR,2007,16,14,111,61,55.00%,780,12.8,4,38,49.5,45,7,3.8,48.8,1,BrowRe01
38,Mike Furrey,DET,30,WR,2007,16,10,91,61,67.00%,664,10.9,1,37,58.2,49,7.3,3.8,41.5,0,FurrMi00
