Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Jarvis Landry*,MIA,25,WR,2017,16,16,161,112,69.60%,987,8.8,9,62,51.6,49,6.1,7,61.7,4,LandJa00
2,Larry Fitzgerald*,ARI,34,WR,2017,16,16,161,109,67.70%,1156,10.6,6,65,52.8,37,7.2,6.8,72.3,1,FitzLa00
3,Michael Thomas*,NOR,24,WR,2017,16,14,149,104,69.80%,1245,12,5,71,59.1,43,8.4,6.5,77.8,0,ThomMi05
4,Keenan Allen*,LAC,25,WR,2017,16,15,159,102,64.20%,1393,13.7,6,74,55.3,51,8.8,6.4,87.1,1,AlleKe00
5,Antonio Brown*+,PIT,29,WR,2017,14,14,163,101,62.00%,1533,15.2,9,69,50.9,57,9.4,7.2,109.5,4,BrowAn04
6,DeAndre Hopkins*+,HOU,25,WR,2017,15,15,174,96,55.20%,1378,14.4,13,69,50.6,72,7.9,6.4,91.9,1,HopkDe00
7,Golden Tate,DET,29,WR,2017,16,12,120,92,76.70%,1003,10.9,5,44,55,71,8.4,5.8,62.7,1,TateGo00
8,Adam Thielen*,MIN,27,WR,2017,16,16,142,91,64.10%,1276,14,4,59,52.8,65,9,5.7,79.8,3,ThieAd00
9,Julio Jones*,ATL,28,WR,2017,16,16,148,88,59.50%,1444,16.4,3,67,54.7,53,9.8,5.5,90.3,0,JoneJu02
10,Le'Veon Bell*+,PIT,25,RB,2017,15,15,106,85,80.20%,655,7.7,2,32,56.6,42,6.2,5.7,43.7,3,BellLe00
11,Travis Kelce*,KAN,28,TE,2017,15,15,122,83,68.00%,1038,12.5,8,53,54.1,44,8.5,5.5,69.2,0,KelcTr00
12,Demaryius Thomas,DEN,30,WR,2017,16,16,140,83,59.30%,949,11.4,5,53,47.9,40,6.8,5.2,59.3,1,ThomDe03
13,Alvin Kamara*,NOR,22,RB,2017,16,3,100,81,81.00%,826,10.2,5,38,56,40,8.3,5.1,51.6,1,KamaAl00
14,Jack Doyle*,IND,27,TE,2017,15,15,108,80,74.10%,690,8.6,4,36,57.4,26,6.4,5.3,46,2,DoylJa00
