Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Jerry Rice*+,SFO,34,WR,1996,16,16,153,108,70.60%,1254,11.6,8,72,62.1,39,8.2,6.8,78.4,0,RiceJe00
2,Herman Moore*+,DET,27,WR,1996,16,16,178,106,59.60%,1296,12.2,9,70,52.2,50,7.3,6.6,81,0,MoorHe00
3,Carl Pickens*,CIN,26,WR,1996,16,16,174,100,57.50%,1180,11.8,12,63,51.7,61,6.8,6.3,73.8,0,PickCa00
4,Larry Centers*+,ARI,28,FB,1996,16,14,130,99,76.20%,766,7.7,7,46,51.5,39,5.9,6.2,47.9,1,CentLa00
5,Cris Carter*,MIN,31,WR,1996,16,16,167,96,57.50%,1163,12.1,10,57,51.5,43,7,6,72.7,1,CartCr00
6,Brett Perriman,DET,31,WR,1996,16,16,170,94,55.30%,1021,10.9,5,59,45.9,44,6,5.9,63.8,0,PerrBr00
7,Tim Brown*,OAK,30,WR,1996,16,16,146,90,61.60%,1104,12.3,9,53,52.1,42,7.6,5.6,69,3,BrowTi00
8,Terry Glenn,NWE,22,WR,1996,15,15,167,90,53.90%,1132,12.6,6,55,44.3,37,6.8,6,75.5,1,GlenTe00
9,Irving Fryar*,PHI,34,WR,1996,16,16,152,88,57.90%,1195,13.6,11,66,54.6,42,7.9,5.5,74.7,0,FryaIr00
10,Tony Martin*,SDG,31,WR,1996,16,16,167,85,50.90%,1171,13.8,14,60,43.1,55,7,5.3,73.2,0,MartTo00
11,Keenan McCardell*,JAX,26,WR,1996,16,15,127,85,66.90%,1129,13.3,3,57,59.1,52,8.9,5.3,70.6,1,McCaKe00
12,Isaac Bruce*,STL,24,WR,1996,16,16,150,84,56.00%,1338,15.9,7,60,51.3,70,8.9,5.3,83.6,1,BrucIs00
13,Wayne Chrebet,NYJ,23,WR,1996,16,9,128,84,65.60%,909,10.8,3,47,54.7,44,7.1,5.3,56.8,5,ChreWa00
14,Jimmy Smith,JAX,27,WR,1996,16,9,128,83,64.80%,1244,15,7,59,60.9,62,9.7,5.2,77.8,1,SmitJi00
15,Curtis Conway,CHI,25,WR,1996,16,16,143,81,56.60%,1049,13,7,51,51.7,58,7.3,5.1,65.6,1,ConwCu00
16,Shannon Sharpe*+,DEN,28,TE,1996,15,15,117,80,68.40%,1062,13.3,10,52,52.1,51,9.1,5.3,70.8,1,SharSh00
17,Michael Jackson,BAL,27,WR,1996,16,16,150,76,50.70%,1201,15.8,14,56,44.7,86,8,4.8,75.1,0,JackMi00
18,Bert Emanuel,ATL,26,WR,1996,14,13,123,75,61.00%,921,12.3,6,47,48,53,7.5,5.4,65.8,0,EmanBe00
19,O.J. McDuffie,MIA,27,WR,1996,16,16,119,74,62.20%,918,12.4,8,0,0,36,7.7,4.6,57.4,6,McDuO.00
20,Andre Hastings,PIT,26,WR,1996,16,10,115,72,62.60%,739,10.3,6,41,49.6,38,6.4,4.5,46.2,3,HastAn00
21,Jake Reed,MIN,29,WR,1996,16,15,126,72,57.10%,1320,18.3,7,55,52.4,82,10.5,4.5,82.5,0,ReedJa00
22,Chris Jones,PHI,25,WR,1996,16,16,114,70,61.40%,859,12.3,5,0,0,38,7.5,4.4,53.7,1,JoneCh01
23,Terance Mathis,ATL,29,WR,1996,16,16,114,69,60.50%,771,11.2,7,45,50,55,6.8,4.3,48.2,0,MathTe00
24,Frank Sanders,ARI,23,WR,1996,16,16,130,69,53.10%,813,11.8,4,47,47.7,34,6.3,4.3,50.8,1,SandFr00
25,Andre Reed,BUF,32,WR,1996,16,16,101,66,65.30%,1036,15.7,6,42,56.4,67,10.3,4.1,64.8,1,ReedAn00
26,Mike Alstott,TAM,23,FB,1996,16,16,81,65,80.20%,557,8.6,3,27,64.2,29,6.9,4.1,34.8,4,AlstMi00
27,Marvin Harrison,IND,24,WR,1996,16,15,118,64,54.20%,836,13.1,8,43,48.3,41,7.1,4,52.3,1,HarrMa00
28,Michael Irvin,DAL,30,WR,1996,11,11,105,64,61.00%,962,15,2,45,56.2,61,9.2,5.8,87.5,1,IrviMi00
29,Keyshawn Johnson,NYJ,24,WR,1996,14,11,125,63,50.40%,844,13.4,8,41,43.2,50,6.8,4.5,60.3,0,JohnKe00
30,Derrick Alexander,BAL,25,WR,1996,15,14,107,62,57.90%,1099,17.7,9,48,47.7,64,10.3,4.1,73.3,0,AlexDe00
31,Ben Coates*,NWE,27,TE,1996,16,15,100,62,62.00%,682,11,9,36,47,84,6.8,3.9,42.6,1,CoatBe00
32,Michael Timpson,CHI,29,WR,1996,15,15,109,62,56.90%,802,12.9,0,45,49.5,49,7.4,4.1,53.5,2,TimpMi00
33,Terrell Fletcher,SDG,23,RB,1996,16,0,86,61,70.90%,476,7.8,2,21,41.9,41,5.5,3.8,29.8,1,FletTe00
34,Wesley Walls*,CAR,30,TE,1996,16,15,111,61,55.00%,713,11.7,10,43,49.5,40,6.4,3.8,44.6,0,WallWe00
35,Kimble Anders*,KAN,30,FB,1996,16,15,88,60,68.20%,529,8.8,2,25,44.3,45,6,3.8,33.1,0,AndeKi00
36,Charles Johnson,PIT,24,WR,1996,16,12,101,60,59.40%,1008,16.8,3,44,54.5,70,10,3.8,63,1,JohnCh00
37,Mark Carrier,CAR,31,WR,1996,16,15,104,58,55.80%,808,13.9,6,38,51.9,39,7.8,3.6,50.5,0,CarrMa00
38,Rob Moore,ARI,28,WR,1996,16,16,146,58,39.70%,1016,17.5,4,45,37,69,7,3.6,63.5,0,MoorRo00
39,Darnay Scott,CIN,24,WR,1996,16,16,115,58,50.40%,833,14.4,5,40,47.8,50,7.2,3.6,52.1,0,ScotDa00
40,Joey Galloway,SEA,25,WR,1996,16,16,121,57,47.10%,987,17.3,7,40,43,65,8.2,3.6,61.7,2,GallJo00
41,Marshall Faulk,IND,23,RB,1996,13,13,80,56,70.00%,428,7.6,0,18,47.5,30,5.4,4.3,32.9,2,FaulMa00
42,Antonio Freeman,GNB,24,WR,1996,12,12,107,56,52.30%,933,16.7,9,46,47.7,51,8.7,4.7,77.8,3,FreeAn00
43,Anthony Miller,DEN,31,WR,1996,16,16,110,56,50.90%,735,13.1,3,30,40,46,6.7,3.5,45.9,0,MillAn00
44,Brian Kinchen,BAL,31,TE,1996,16,16,76,55,72.40%,581,10.6,1,26,65.8,29,7.6,3.4,36.3,1,KincBr00
45,Johnnie Morton,DET,25,WR,1996,16,15,97,55,56.70%,714,13,6,30,39.2,62,7.4,3.4,44.6,1,MortJo00
46,Sean Dawkins,IND,25,WR,1996,15,14,91,54,59.30%,751,13.9,1,38,56,42,8.3,3.6,50.1,1,DawkSe00
47,Eddie Kennison,STL,23,WR,1996,15,14,115,54,47.00%,924,17.1,9,32,40,77,8,3.6,61.6,5,KennEd00
48,Amp Lee,MIN,25,RB,1996,16,3,71,54,76.10%,422,7.8,2,25,46.5,21,5.9,3.4,26.4,2,LeexAm00
49,Eric Metcalf,ATL,28,WR,1996,16,11,90,54,60.00%,599,11.1,6,33,54.4,67,6.7,3.4,37.4,3,MetcEr00
50,Chris Calloway,NYG,28,WR,1996,16,15,109,53,48.60%,739,13.9,4,40,43.1,36,6.8,3.3,46.2,1,CallCh00
51,Thomas Lewis,NYG,24,WR,1996,13,11,98,53,54.10%,694,13.1,4,38,49,34,7.1,4.1,53.4,0,LewiTh00
52,Frank Wycheck,HOU,25,TE,1996,16,16,68,53,77.90%,511,9.6,6,26,58.8,29,7.5,3.3,31.9,2,WychFr00
53,Henry Ellard,WAS,35,WR,1996,16,16,98,52,53.10%,1014,19.5,2,49,51,51,10.3,3.3,63.4,0,EllaHe00
54,Terry Kirby,SFO,26,RB,1996,14,10,69,52,75.40%,439,8.4,1,17,43.5,52,6.4,3.7,31.4,1,KirbTe00
55,Pete Mitchell,JAX,25,TE,1996,16,7,77,52,67.50%,575,11.1,1,27,55.8,30,7.5,3.3,35.9,1,MitcPe00
56,Ricky Watters*,PHI,27,RB,1996,16,16,70,51,72.90%,444,8.7,0,19,50,36,6.3,3.2,27.8,5,WattRi00
57,Quinn Early,BUF,31,WR,1996,16,13,91,50,54.90%,798,16,4,35,46.2,95,8.8,3.1,49.9,0,EarlQu00
58,Jeff Graham,NYJ,27,WR,1996,11,9,85,50,58.80%,788,15.8,6,37,50.6,78,9.3,4.5,71.6,0,GrahJe00
59,Shawn Jefferson,NWE,27,WR,1996,15,15,92,50,54.30%,771,15.4,4,39,52.2,42,8.4,3.3,51.4,2,JeffSh00
60,Torrance Small,NOR,26,WR,1996,16,13,89,50,56.20%,558,11.2,2,27,43.8,41,6.3,3.1,34.9,1,SmalTo00
61,Jamal Anderson,ATL,24,RB,1996,16,12,67,49,73.10%,473,9.7,1,19,49.3,34,7.1,3.1,29.6,4,AndeJa00
62,Chris Penn,KAN,25,WR,1996,16,16,90,49,54.40%,628,12.8,5,37,47.8,22,7,3.1,39.3,3,PennCh00
63,Eric Bjornson,DAL,25,TE,1996,14,10,64,48,75.00%,388,8.1,3,21,53.1,25,6.1,3.4,27.7,1,BjorEr00
64,Ed McCaffrey,DEN,28,WR,1996,15,15,76,48,63.20%,553,11.5,7,31,46.1,39,7.3,3.2,36.9,0,McCaEd00
65,Chris Sanders,HOU,24,WR,1996,16,15,105,48,45.70%,882,18.4,4,35,41,83,8.4,3,55.1,0,SandCh00
66,Andre Rison,2TM,29,WR,1996,15,13,90,47,52.20%,593,12.6,3,0,0,61,6.6,3.1,39.5,1,RisoAn00
67,Emmitt Smith,DAL,27,RB,1996,15,15,57,47,82.50%,249,5.3,3,11,38.6,21,4.4,3.1,16.6,5,SmitEm00
68,Willie Green,CAR,30,WR,1996,15,10,75,46,61.30%,614,13.3,3,33,56,50,8.2,3.1,40.9,0,GreeWi00
69,Courtney Hawkins,TAM,27,WR,1996,16,16,94,46,48.90%,544,11.8,1,31,41.5,45,5.8,2.9,34,1,HawkCo00
70,Lonnie Johnson,BUF,25,TE,1996,16,15,79,46,58.20%,457,9.9,0,17,44.3,33,5.8,2.9,28.6,1,JohnLo00
71,Curtis Martin*,NWE,23,RB,1996,16,15,52,46,88.50%,333,7.2,3,15,51.9,41,6.4,2.9,20.8,4,MartCu00
72,Richie Anderson,NYJ,25,FB,1996,16,13,71,44,62.00%,385,8.8,0,16,33.8,48,5.4,2.8,24.1,0,AndeRi00
73,Michael Haynes,NOR,31,WR,1996,16,10,87,44,50.60%,786,17.9,4,35,50.6,51,9,2.8,49.1,1,HaynMi00
74,Daryl Hobbs,OAK,28,WR,1996,16,1,75,44,58.70%,423,9.6,3,27,50.7,29,5.6,2.8,26.4,4,HobbDa00
75,Brian Blades,SEA,31,WR,1996,11,9,70,43,61.40%,556,12.9,2,27,52.9,80,7.9,3.9,50.5,1,BladBr00
76,James Jett,OAK,26,WR,1996,16,16,84,43,51.20%,601,14,4,33,48.8,58,7.2,2.7,37.6,0,JettJa00
77,Daryl Johnston,DAL,30,FB,1996,16,15,55,43,78.20%,278,6.5,1,8,36.4,23,5.1,2.7,17.4,1,JohnDa00
78,Kevin Turner,PHI,27,FB,1996,16,12,56,43,76.80%,409,9.5,1,17,53.6,41,7.3,2.7,25.6,1,TurnKe00
79,Jamie Asher,WAS,24,TE,1996,16,12,74,42,56.80%,481,11.5,4,23,40.5,34,6.5,2.6,30.1,0,AsheJa00
80,Ken Dilger,IND,25,TE,1996,16,16,60,42,70.00%,503,12,4,22,55,51,8.4,2.6,31.4,1,DilgKe00
81,Ronnie Harmon,HOU,32,RB,1996,16,6,59,42,71.20%,488,11.6,2,25,55.9,43,8.3,2.6,30.5,0,HarmRo00
82,Tony Carter,CHI,24,FB,1996,16,11,59,41,69.50%,233,5.7,0,8,44.1,29,3.9,2.6,14.6,1,CartTo00
83,Charlie Jones,SDG,24,WR,1996,14,4,75,41,54.70%,524,12.8,4,24,44,63,7,2.9,37.4,0,JoneCh00
84,Keith Jackson*,GNB,31,TE,1996,16,5,63,40,63.50%,505,12.6,10,28,58.7,51,8,2.5,31.6,0,JackKe00
85,Chris Warren,SEA,28,RB,1996,14,14,46,40,87.00%,273,6.8,0,11,41.3,33,5.9,2.9,19.5,3,WarrCh00
86,Don Beebe,GNB,32,WR,1996,16,6,76,39,51.30%,699,17.9,4,24,46.1,80,9.2,2.4,43.7,1,BeebDo00
87,Aaron Craver,DEN,28,FB,1996,15,15,51,39,76.50%,297,7.6,1,13,49,39,5.8,2.6,19.8,1,CravAa00
88,Willie Davis,HOU,29,WR,1996,16,14,71,39,54.90%,464,11.9,6,20,46.5,49,6.5,2.4,29,1,DaviWi00
89,Tony McGee,CIN,25,TE,1996,16,16,63,38,60.30%,446,11.7,4,29,54,22,7.1,2.4,27.9,0,McGeTo00
90,Floyd Turner,BAL,30,WR,1996,11,6,64,38,59.40%,461,12.1,2,25,42.2,27,7.2,3.5,41.9,0,TurnFl00
91,Harold Green,STL,28,RB,1996,16,5,58,37,63.80%,246,6.6,1,15,37.9,19,4.2,2.3,15.4,2,GreeHa00
92,Fred Barnett,MIA,30,WR,1996,9,7,63,36,57.10%,562,15.6,3,22,42.9,66,8.9,4,62.4,1,BarnFr00
93,Andre Coleman,SDG,24,WR,1996,16,10,73,36,49.30%,486,13.5,2,21,45.2,50,6.7,2.3,30.4,4,ColeAn00
94,Terrell Davis*+,DEN,24,RB,1996,16,16,52,36,69.20%,310,8.6,2,16,51.9,23,6,2.3,19.4,5,DaviTe00
95,Deion Sanders*+,DAL,29,RCB/WR,1996,16,15,67,36,53.70%,475,13.2,1,24,49.3,41,7.1,2.3,29.7,2,SandDe00
96,Terrell Owens,SFO,23,WR,1996,16,10,58,35,60.30%,520,14.9,4,23,50,46,9,2.2,32.5,1,OwenTe00
97,Rickey Dudley,OAK,24,TE,1996,16,15,70,34,48.60%,386,11.4,4,17,32.9,62,5.5,2.1,24.1,1,DudlRi00
98,Derek Russell,HOU,27,WR,1996,16,5,59,34,57.60%,421,12.4,2,22,52.5,29,7.1,2.1,26.3,0,RussDe00
99,Michael Westbrook,WAS,24,WR,1996,11,6,62,34,54.80%,505,14.9,1,25,51.6,45,8.1,3.1,45.9,0,WestMi00
100,Bobby Engram,CHI,23,WR,1996,16,2,62,33,53.20%,389,11.8,6,28,51.6,24,6.3,2.1,24.3,2,EngrBo00
101,Sam Gash,NWE,27,FB,1996,14,9,44,33,75.00%,276,8.4,2,15,59.1,28,6.3,2.4,19.7,0,GashSa00
102,Willie Jackson,JAX,25,WR,1996,16,2,42,33,78.60%,486,14.7,3,19,66.7,58,11.6,2.1,30.4,0,JackWi00
103,Brent Jones,SFO,33,TE,1996,11,10,48,33,68.80%,428,13,1,19,58.3,39,8.9,3,38.9,0,JoneBr00
104,Dave Meggett*,NWE,30,RB,1996,16,1,57,33,57.90%,292,8.8,0,0,0,26,5.1,2.1,18.3,7,MeggDa00
105,Stanley Pritchett,MIA,23,FB,1996,16,16,50,33,66.00%,354,10.7,2,11,38,74,7.1,2.1,22.1,3,PritSt00
106,Robb Thomas,TAM,30,WR,1996,12,8,53,33,62.30%,427,12.9,2,21,54.7,31,8.1,2.8,35.6,0,ThomRo01
107,Terry Allen*,WAS,28,RB,1996,16,16,42,32,76.20%,194,6.1,0,7,38.1,28,4.6,2,12.1,4,AlleTe00
108,Eric Bieniemy,CIN,27,RB,1996,16,0,46,32,69.60%,272,8.5,0,13,43.5,42,5.9,2,17,1,BienEr00
109,Keith Byars,2TM,33,TE,1996,14,10,48,32,66.70%,289,9,2,0,0,27,6,2.3,20.6,0,ByarKe00
110,David Dunn,CIN,24,WR,1996,16,0,49,32,65.30%,509,15.9,1,23,55.1,40,10.4,2,31.8,1,DunnDa00
111,Raymont Harris,CHI,26,RB,1996,12,10,43,32,74.40%,296,9.3,1,14,44.2,47,6.9,2.7,24.7,3,HarrRa00
112,Brian Mitchell,WAS,28,RB,1996,16,2,40,32,80.00%,286,8.9,0,13,37.5,20,7.2,2,17.9,1,MitcBr00
113,Webster Slaughter,NYJ,32,WR,1996,10,1,60,32,53.30%,434,13.6,2,20,46.7,53,7.2,3.2,43.4,0,SlauWe00
114,Charles Way,NYG,24,FB,1996,16,12,45,32,71.10%,328,10.3,1,17,60,37,7.3,2,20.5,0,WayxCh00
115,Edgar Bennett,GNB,27,RB,1996,16,15,39,31,79.50%,176,5.7,1,7,46.2,25,4.5,1.9,11,2,BennEd00
116,Derrick Fenner,OAK,29,FB,1996,16,11,45,31,68.90%,252,8.1,4,12,48.9,23,5.6,1.9,15.8,0,FennDe00
117,Dorsey Levens,GNB,26,RB,1996,16,1,33,31,93.90%,226,7.3,5,14,63.6,49,6.8,1.9,14.1,2,LeveDo00
118,Lorenzo Neal,NOR,26,FB,1996,16,11,42,31,73.80%,194,6.3,1,10,47.6,23,4.6,1.9,12.1,1,NealLo00
119,J.J. Birden,ATL,31,WR,1996,12,12,61,30,49.20%,319,10.6,2,0,0,57,5.2,2.5,26.6,2,BirdJJ00
120,Earnest Byner,BAL,34,RB,1996,16,8,44,30,68.20%,270,9,1,8,34.1,40,6.1,1.9,16.9,1,ByneEa00
121,Jackie Harris,TAM,28,TE,1996,13,12,60,30,50.00%,349,11.6,1,16,41.7,36,5.8,2.3,26.8,1,HarrJa00
122,James Stewart,JAX,25,RB,1996,13,11,40,30,75.00%,177,5.9,2,7,35,21,4.4,2.3,13.6,2,StewJa00
123,Anthony Edwards,ARI,30,WR,1996,16,1,50,29,58.00%,311,10.7,1,19,46,31,6.2,1.8,19.4,1,EdwaAn00
124,Tyrone Brown,ATL,23,WR,1996,9,4,55,28,50.90%,325,11.6,1,13,41.8,38,5.9,3.1,36.1,0,BrowTy00
125,Mark Chmura,GNB,27,TE,1996,13,13,48,28,58.30%,370,13.2,0,19,54.2,29,7.7,2.2,28.5,0,ChmuMa00
126,Troy Drayton,2TM,26,TE,1996,13,13,39,28,71.80%,331,11.8,0,0,0,51,8.5,2.2,25.5,0,DrayTr00
127,Tommy Vardell,SFO,27,FB,1996,11,7,38,28,73.70%,179,6.4,0,8,44.7,22,4.7,2.5,16.3,0,VardTo00
128,Marcus Allen,KAN,36,RB,1996,16,15,35,27,77.10%,270,10,0,13,60,59,7.7,1.7,16.9,2,AlleMa00
129,Howard Griffith,CAR,29,FB,1996,16,14,48,27,56.30%,223,8.3,1,11,41.7,21,4.6,1.7,13.9,1,GrifHo00
130,William Henderson,GNB,25,FB,1996,16,11,33,27,81.80%,203,7.5,1,12,45.5,27,6.2,1.7,12.7,1,HendWi00
131,Sean LaChapelle,KAN,26,WR,1996,12,8,48,27,56.30%,422,15.6,2,21,54.2,69,8.8,2.3,35.2,0,LaChSe00
132,Henry Lusk,NOR,24,TE,1996,16,3,48,27,56.30%,210,7.8,0,9,37.5,24,4.4,1.7,13.1,1,LuskHe00
133,Dave Moore,TAM,27,TE,1996,16,8,43,27,62.80%,237,8.8,3,15,55.8,23,5.5,1.7,14.8,0,MoorDa00
134,Kevin Williams,DAL,25,WR,1996,10,9,51,27,52.90%,323,12,1,19,49,31,6.3,2.7,32.3,0,WillKe00
135,Pat Carter,ARI,30,TE,1996,16,16,33,26,78.80%,329,12.7,1,16,69.7,36,10,1.6,20.6,0,CartPa00
136,Carlester Crumpler,SEA,25,TE,1996,16,7,39,26,66.70%,258,9.9,0,13,59,26,6.6,1.6,16.1,1,CrumCa00
137,William Floyd,SFO,24,FB,1996,9,8,36,26,72.20%,197,7.6,1,8,41.7,24,5.5,2.9,21.9,4,FloyWi00
138,Anthony Johnson,CAR,29,RB,1996,16,11,33,26,78.80%,192,7.4,0,5,45.5,55,5.8,1.6,12,2,JohnAn00
139,Ted Popson,SFO,30,TE,1996,15,6,35,26,74.30%,301,11.6,6,17,65.7,39,8.6,1.7,20.1,0,PopsTe00
140,Thurman Thomas,BUF,30,RB,1996,15,15,42,26,61.90%,254,9.8,0,9,38.1,69,6,1.7,16.9,1,ThomTh00
141,Ricky Whittle,NOR,25,RB,1996,10,0,34,26,76.50%,162,6.2,0,5,26.5,28,4.8,2.6,16.2,1,WhitRi00
142,Kelvin Martin,DAL,31,WR,1996,16,1,44,25,56.80%,380,15.2,1,21,56.8,60,8.6,1.6,23.8,1,MartKe00
143,Bam Morris,BAL,24,RB,1996,11,7,31,25,80.60%,242,9.7,1,13,48.4,52,7.8,2.3,22,0,MorrBa00
144,Muhsin Muhammad,CAR,23,WR,1996,9,5,49,25,51.00%,407,16.3,1,14,44.9,54,8.3,2.8,45.2,0,MuhaMu00
145,Alfred Pupunu,SDG,27,TE,1996,9,8,35,24,68.60%,271,11.3,1,9,51.4,41,7.7,2.7,30.1,1,PupuAl00
146,Barry Sanders*,DET,28,RB,1996,16,16,32,24,75.00%,147,6.1,0,6,37.5,28,4.6,1.5,9.2,4,SandBa00
147,Karim Abdul-Jabbar,MIA,22,RB,1996,16,14,46,23,50.00%,139,6,0,6,34.8,23,3,1.4,8.7,4,AbduKa00
148,Robert Brooks,GNB,26,WR,1996,7,7,41,23,56.10%,344,15,4,18,51.2,38,8.4,3.3,49.1,0,BrooRo00
149,Eddie George,HOU,23,RB,1996,16,16,28,23,82.10%,182,7.9,0,12,57.1,17,6.5,1.4,11.4,3,GeorEd00
150,Marc Logan,WAS,31,FB,1996,14,9,34,23,67.60%,269,11.7,0,13,50,26,7.9,1.6,19.2,1,LogaMa00
151,Ricky Proehl,SEA,28,WR,1996,16,7,48,23,47.90%,309,13.4,2,14,35.4,56,6.4,1.4,19.3,0,ProeRi00
152,Leslie Shepherd,WAS,27,WR,1996,12,6,45,23,51.10%,344,15,3,18,46.7,52,7.6,1.9,28.7,0,ShepLe00
153,Jerome Bettis*+,PIT,24,RB,1996,16,12,32,22,68.80%,122,5.5,0,6,37.5,16,3.8,1.4,7.6,7,BettJe00
154,Ki-Jana Carter,CIN,23,RB,1996,16,4,35,22,62.90%,169,7.7,1,7,40,20,4.8,1.4,10.6,2,CartKi00
155,Howard Cross,NYG,29,TE,1996,16,16,45,22,48.90%,178,8.1,1,13,35.6,19,4,1.4,11.1,1,CrosHo00
