Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Pfr_ID,AV,Team,Round,Pick
DeAndre Hopkins,WR,73,214,4.57,36,15,115,,4.5,2013,HopkDe00,26,Houston Texans,1,27
Justin Hunter,WR,76,196,4.44,39.5,,136,,4.33,2013,HuntJu00,8,Tennessee Titans,2,34
Darius Johnson,WR,69,179,4.6,32,6,109,,4.53,2013,JohnDa06,2,,,
Brandon Kaufman,WR,77,216,4.67,33.5,9,115,7.11,4.44,2013,KaufBr00,0,,,
Tavarres King,WR,72,189,4.47,36.5,11,123,6.91,4.33,2013,KingTa00,2,Denver Broncos,5,161
Alec Lemon,WR,73,202,4.59,32,7,112,7.04,4.29,2013,LemoAl00,0,,,
Aaron Mellette,WR,74,217,4.54,33.5,9,123,7.11,4.41,2013,MellAa00,0,Baltimore Ravens,7,238
T.J. Moe,WR,71,204,4.74,36,26,120,6.53,3.96,2013,MoexT.00,0,,,
Cordarrelle Patterson,WR,74,216,4.42,37,,128,,,2013,PattCo00,14,Minnesota Vikings,1,29
Quinton Patton,WR,72,204,4.53,33,8,118,6.91,4.01,2013,PattQu00,4,San Francisco 49ers,4,128
Denard Robinson,WR,70,199,4.43,36.5,,123,7.09,4.22,2013,RobiDe00,7,Jacksonville Jaguars,5,135
Da'Rick Rogers,WR,74,217,4.5,39.5,10,132,6.71,4.06,2013,RogeDa01,2,,,
Lanear Sampson,WR,71,204,4.46,33.5,20,119,7.1,4.38,2013,SampLa00,0,,,
Ace Sanders,WR,67,173,4.58,32,7,117,6.81,4.37,2013,SandAc00,3,Jacksonville Jaguars,4,101
Rodney Smith,WR,76,225,4.51,34.5,,120,7.03,4.07,2013,SmitRo05,0,,,
Ryan Spadola,WR,73,204,4.48,33.5,15,119,6.72,4.07,2013,SpadRy00,0,,,
Kenny Stills,WR,72,194,4.38,33.5,16,124,,4.35,2013,StilKe00,17,New Orleans Saints,5,144
Ryan Swope,WR,72,205,4.34,37,16,125,6.76,4.25,2013,SwopRy00,0,Arizona Cardinals,6,174
Kenbrell Thompkins,WR,73,193,4.54,33.5,8,121,6.88,4.21,2013,ThomKe02,7,,,
Conner Vernon,WR,72,196,4.68,32.5,,125,6.93,4.22,2013,VernCo01,0,,,
Markus Wheaton,WR,71,189,4.45,37,20,120,6.8,4.02,2013,WheaMa00,13,Pittsburgh Steelers,3,79
Terrance Williams,WR,74,208,4.52,32.5,11,119,7.01,4.32,2013,WillTe01,19,Dallas Cowboys,3,74
Marquess Wilson,WR,75,194,4.51,34.5,7,122,6.65,4.33,2013,WilsMa02,5,Chicago Bears,7,236
Robert Woods,WR,72,201,4.51,33.5,14,117,7.15,4.47,2013,WoodRo02,14,Buffalo Bills,2,41
Jared Abbrederis,WR,73,195,4.5,30.5,4,117,6.8,4.08,2014,AbbrJa00,1,Green Bay Packers,5,176
Davante Adams,WR,73,212,4.56,39.5,14,123,6.82,4.3,2014,AdamDa01,19,Green Bay Packers,2,53
Dri Archer,WR,68,173,4.26,38,20,122,6.86,4.06,2014,ArchDr00,0,Pittsburgh Steelers,3,97
Kelvin Benjamin,WR,77,240,4.61,32.5,13,119,7.33,4.39,2014,BenjKe00,21,Carolina Panthers,1,28
Chris Boyd,WR,76,206,4.73,,12,,,,2014,BoydCh00,0,,,
John Brown,WR,70,179,4.34,36.5,,119,6.91,4.12,2014,BrowJo02,19,Arizona Cardinals,3,91
Corey Brown,WR,71,178,4.51,33,,116,7.16,4.22,2014,BrowPh00,11,,,
Martavis Bryant,WR,76,211,4.42,39,16,124,7.18,4.15,2014,BryaMa00,18,Pittsburgh Steelers,4,118
Isaiah Burse,WR,70,188,4.58,31,16,115,6.74,3.94,2014,BursIs01,0,,,
Trey Burton,WR,74,224,4.62,30,,112,7.14,4.32,2014,BurtTr01,3,,,
Michael Campanaro,WR,69,192,4.46,39,20,122,6.77,4.01,2014,CampMi02,1,Baltimore Ravens,7,218
Brandon Coleman,WR,78,225,4.56,32.5,21,,7.33,4.51,2014,ColeBr00,6,,,
Kain Colter,WR,70,198,4.71,,,,,,2014,ColtKa00,0,,,
Brandin Cooks,WR,70,189,4.33,36,16,120,6.76,3.81,2014,CookBr00,25,New Orleans Saints,1,20
Damian Copeland,WR,71,184,4.5,40,12,120,6.53,3.9,2014,CopeDa00,0,,,
Mike Davis,WR,72,197,4.52,,10,,,,2014,DaviMi00,0,,,
Bruce Ellington,WR,69,197,4.45,39.5,15,120,6.69,3.95,2014,ElliBr00,5,San Francisco 49ers,4,106
Quincy Enunwa,WR,74,225,4.41,,19,,,,2014,EnunQu00,9,New York Jets,6,209
Shaquelle Evans,WR,73,213,4.51,34.5,13,122,7.07,4.21,2014,EvanSh00,0,New York Jets,4,115
Mike Evans,WR,77,231,4.53,37,12,,7.08,4.26,2014,EvanMi00,27,Tampa Bay Buccaneers,1,7
Bennie Fowler,WR,73,217,4.52,36,,126,7.06,4.18,2014,FowlBe00,2,,,
Austin Franklin,WR,71,189,4.56,36,7,124,7.07,4.33,2014,FranAu00,0,,,
Jeremy Gallon,WR,67,185,4.49,,15,,,,2014,GallJe00,0,New England Patriots,7,244
Ryan Grant,WR,72,199,4.64,35.5,8,119,6.68,4.11,2014,GranRy01,3,Washington Redskins,5,142
Matt Hazel,WR,73,198,4.5,36.5,15,118,7.08,4.2,2014,HazeMa01,0,Miami Dolphins,6,190
Robert Herron,WR,69,193,4.48,35.5,18,125,6.84,4.27,2014,HerrRo00,0,Tampa Bay Buccaneers,6,185
Cody Hoffman,WR,76,223,4.65,27.5,13,108,6.89,4.2,2014,HoffCo00,0,,,
Josh Huff,WR,71,206,4.51,35.5,14,116,,,2014,HuffJo00,6,Philadelphia Eagles,3,86
Allen Hurns,WR,73,198,4.55,31,14,120,7.23,4.5,2014,HurnAl01,15,,,
Jeff Janis,WR,75,219,4.42,37.5,20,123,6.64,3.98,2014,JaniJe00,2,Green Bay Packers,7,236
T.J. Jones,WR,72,188,4.46,33,,119,6.82,4.27,2014,JoneTJ00,0,,,
Odell Beckham Jr.,WR,71,198,4.38,38.5,7,122,6.69,3.94,2014,BeckOd00,34,New York Giants,1,12
Jarvis Landry,WR,71,205,4.65,28.5,12,110,,,2014,LandJa00,26,Miami Dolphins,2,63
Cody Latimer,WR,74,215,4.52,,23,,,,2014,LatiCo00,1,Denver Broncos,2,56
Marqise Lee,WR,72,192,4.52,38,,127,,4.01,2014,LeexMa00,12,Jacksonville Jaguars,2,39
Marcus Lucas,WR,76,218,4.6,36,20,124,7.07,4.25,2014,LucaMa01,0,,,
Jordan Matthews,WR,75,212,4.46,35.5,21,120,6.95,4.18,2014,MattJo00,20,Philadelphia Eagles,2,42
Donte Moncrief,WR,74,221,4.4,39.5,13,132,7.02,4.3,2014,MoncDo00,13,Indianapolis Colts,3,90
Kevin Norwood,WR,74,198,4.48,33,8,121,6.68,4.32,2014,NorwKe00,1,Seattle Seahawks,4,123
Tevin Reese,WR,70,163,4.46,41,,132,6.63,4.18,2014,ReesTe00,0,San Diego Chargers,7,240
Paul Richardson,WR,72,175,4.4,38,,124,7.09,,2014,RichPa01,5,Seattle Seahawks,2,45
Allen Robinson,WR,75,220,4.6,39,,127,7,4,2014,RobiAl02,20,Jacksonville Jaguars,2,61
Jalen Saunders,WR,69,165,4.44,34,,122,,,2014,SaunJa00,0,New York Jets,4,104
Willie Snead,WR,71,195,4.62,33.5,11,113,7.19,4.39,2014,SneaWi00,16,,,
Josh Stewart,WR,70,178,4.69,35,11,117,7.1,4.33,2014,StewJo04,0,,,
Devin Street,WR,75,198,4.55,37,,124,6.89,4.01,2014,StreDe00,1,Dallas Cowboys,5,146
L'Damian Washington,WR,76,195,4.46,32,8,115,7.19,4.35,2014,WashLD01,0,,,
Sammy Watkins,WR,73,211,4.43,34,16,126,6.95,4.34,2014,WatkSa00,21,Buffalo Bills,1,4
Albert Wilson,WR,69,202,4.43,37.5,10,123,7,4.21,2014,WilsAl02,11,,,
Nelson Agholor,WR,72,198,4.42,,12,,,,2015,AghoNe00,13,Philadelphia Eagles,1,20
Mario Alford,WR,68,180,4.43,34,13,121,6.64,4.07,2015,AlfoMa00,0,Cincinnati Bengals,7,238
Dres Anderson,WR,73,187,4.54,,13,,,,2015,AndeDr00,0,,,
Kenny Bell,WR,73,197,4.42,41.5,7,129,6.66,4.15,2015,BellKe02,0,Tampa Bay Buccaneers,5,162
Da'Ron Brown,WR,72,205,4.54,37,17,120,7.04,4.11,2015,BrowDa03,0,Kansas City Chiefs,7,233
Kaelin Clay,WR,70,195,4.51,33,10,113,6.97,4.26,2015,ClayKa00,3,Tampa Bay Buccaneers,6,184
Sammie Coates,WR,73,212,4.43,41,23,131,6.98,4.06,2015,CoatSa00,4,Pittsburgh Steelers,3,87
Chris Conley,WR,74,213,4.35,45,18,139,7.06,4.3,2015,ConlCh00,9,Kansas City Chiefs,3,76
Amari Cooper,WR,73,211,4.42,33,,120,6.71,3.98,2015,CoopAm00,25,Oakland Raiders,1,4
Jamison Crowder,WR,68,185,4.56,37,10,115,7.17,4.32,2015,CrowJa00,19,Washington Redskins,4,105
DaVaris Daniels,WR,73,201,4.62,37,13,122,,,2015,,0,,,
Titus Davis,WR,73,196,4.51,32.5,,119,7.14,4.28,2015,DaviTi00,0,,,
Geremy Davis,WR,74,216,4.49,36.5,23,124,6.86,4.18,2015,DaviGe00,0,New York Giants,6,186
Devante Davis,WR,75,220,4.57,35.5,16,115,7.25,4.12,2015,,0,,,
Stefon Diggs,WR,72,195,4.46,35,,115,7.03,4.32,2015,DiggSt00,24,Minnesota Vikings,5,146
Phillip Dorsett,WR,70,185,4.33,37,13,122,6.7,4.11,2015,DorsPh00,9,Indianapolis Colts,1,29
Devin Funchess,WR,76,232,4.7,38.5,17,122,,,2015,FuncDe00,16,Carolina Panthers,2,41
Antwan Goodley,WR,70,209,4.44,,,,,,2015,GoodAn01,0,,,
Dorial Green-Beckham,WR,77,237,4.49,33.5,13,119,6.89,4.45,2015,GreeDo00,7,Tennessee Titans,2,40
Rashad Greene,WR,71,182,4.53,36.5,,122,6.88,4.12,2015,GreeRa00,2,Jacksonville Jaguars,5,139
Rannell Hall,WR,72,198,4.6,41,16,132,6.86,4.15,2015,HallRa02,0,,,
Justin Hardy,WR,70,192,4.56,36.5,11,114,6.63,4.21,2015,HardJu00,6,Atlanta Falcons,4,107
Josh Harper,WR,73,191,4.64,32,13,108,7.15,4.36,2015,HarpJo00,0,,,
Chris Jones,WR,70,182,4.63,32.5,8,119,6.91,4.19,2015,,0,,,
Dez Lewis,WR,76,214,4.58,33.5,16,119,7.11,4.28,2015,,0,,,
Tony Lippett,WR,74,192,4.61,36,10,114,6.92,4.13,2015,LippTo00,6,Miami Dolphins,5,156
Tyler Lockett,WR,70,182,4.4,35.5,,121,6.89,4.07,2015,LockTy00,21,Seattle Seahawks,3,69
Deon Long,WR,72,192,4.51,34,12,120,6.98,4.27,2015,LongDe00,0,,,
Donatella Luckett,WR,72,211,4.4,34,17,118,7.51,4.5,2015,,0,,,
Vince Mayle,WR,74,224,4.67,35.5,,117,6.93,4.13,2015,MaylVi00,0,Cleveland Browns,4,123
Tre McBride,WR,72,210,4.41,38,16,122,6.96,4.08,2015,McBrTr00,1,Tennessee Titans,7,245
Ty Montgomery,WR,72,221,4.55,40.5,,121,6.97,4.21,2015,MontTy01,12,Green Bay Packers,3,94
Keith Mumphery,WR,72,215,4.54,32.5,,121,7.07,4.25,2015,MumpKe00,2,Houston Texans,5,175
J.J. Nelson,WR,70,156,4.28,36,,127,7.02,4.15,2015,NelsJJ00,12,Arizona Cardinals,5,159
DeVante Parker,WR,75,209,4.45,36.5,17,125,,,2015,ParkDe01,14,Miami Dolphins,1,14
Breshad Perriman,WR,74,212,4.52,,,,,,2015,PerrBr02,4,Baltimore Ravens,1,26
Ezell Ruffin,WR,72,218,4.68,27.5,17,110,7.35,4.58,2015,RuffEz00,0,,,
Ross Scheuerman,WR,72,204,4.62,33,15,121,7.08,4.11,2015,,0,,,
DeAndre Smelter,WR,74,226,4.52,,,,,,2015,SmelDe00,0,San Francisco 49ers,4,132
Devin Smith,WR,72,196,4.42,39,10,122,,4.15,2015,SmitDe04,1,New York Jets,2,37
Jaelen Strong,WR,74,217,4.44,42,,123,,,2015,StroJa01,2,Houston Texans,3,70
Darren Waller,WR,78,238,4.46,37,12,125,7.07,4.25,2015,WallDa01,1,Baltimore Ravens,6,204
DeAndrew White,WR,71,193,4.44,34.5,,118,6.97,4.18,2015,WhitDe01,0,,,
Kevin White,WR,75,215,4.35,36.5,23,123,6.92,4.14,2015,WhitKe00,1,Chicago Bears,1,7
Cam Worthy,WR,74,211,4.59,,12,,,,2015,WortCa00,0,,,
Bralon Addison,WR,69,197,4.66,34.5,13,116,6.95,4.14,2016,AddiBr01,0,,,
Geronimo Allison,WR,75,196,4.67,33,,127,7.4,4.28,2016,AlliGe01,4,,,
Demarcus Ayers,WR,69,182,4.72,33,,123,,,2016,AyerDe00,0,Pittsburgh Steelers,7,229
Tyler Boyd,WR,73,197,4.58,34,11,119,6.9,4.35,2016,BoydTy00,7,Cincinnati Bengals,2,55
Chris Brown,WR,74,194,4.48,,,,,,2016,BrowCh07,0,,,
Aaron Burbridge,WR,72,206,4.56,30.5,20,115,7.22,4.31,2016,BurbAa00,1,San Francisco 49ers,6,213
Devon Cajuste,WR,76,234,4.62,36,12,123,6.49,4.2,2016,CajuDe00,0,,,
Leonte Carroo,WR,72,211,4.5,35.5,14,120,,,2016,CarrLe00,1,Miami Dolphins,3,86
Corey Coleman,WR,71,194,4.42,40.5,17,129,,,2016,ColeCo00,5,Cleveland Browns,1,15
Pharoh Cooper,WR,71,203,4.52,31,15,115,,,2016,CoopPh00,3,Los Angeles Rams,4,117
Cody Core,WR,75,205,4.47,31.5,14,119,,,2016,CoreCo00,2,Cincinnati Bengals,6,199
Trevor Davis,WR,73,188,4.42,38.5,11,124,6.6,4.22,2016,DaviTr03,1,Green Bay Packers,5,163
Josh Doctson,WR,74,202,4.5,41,14,131,6.84,4.08,2016,DoctJo00,5,Washington Redskins,1,22
D.J. Foster,WR,70,193,4.57,35.5,14,117,6.75,4.07,2016,FostD.01,1,,,
Will Fuller,WR,72,186,4.32,33.5,10,126,6.93,4.27,2016,FullWi01,9,Houston Texans,1,21
Keyarris Garrett,WR,75,220,4.53,36.5,14,128,7.3,4.33,2016,GarrKe01,0,,,
Rashard Higgins,WR,73,196,4.64,32,13,116,,,2016,HiggRa00,2,Cleveland Browns,5,172
Johnny Holton,WR,73,190,4.54,31.5,8,123,,,2016,,0,,,
Cayleb Jones,WR,75,209,4.65,33.5,9,,6.99,4.14,2016,JoneCa02,0,,,
Kenny Lawler,WR,74,203,4.64,31,,111,7.13,4.2,2016,LawlKe00,0,Seattle Seahawks,7,243
Roger Lewis,WR,72,201,4.57,33.5,8,116,,,2016,,0,,,
Kolby Listenbee,WR,72,197,4.39,35.5,15,129,,,2016,ListKo00,0,Buffalo Bills,6,192
Ricardo Louis,WR,74,215,4.43,38,18,132,,,2016,LouiRi00,3,Cleveland Browns,4,114
Byron Marshall,WR,69,201,4.42,,17,,,,2016,MarsBy01,0,,,
Jalin Marshall,WR,70,200,4.6,37.5,16,125,6.8,4.13,2016,MarsJa01,1,,,
Mekale McKay,WR,76,207,4.55,35,12,123,7.08,4.63,2016,McKaMe00,0,,,
Braxton Miller,WR,73,201,4.5,35,17,123,6.65,4.07,2016,MillBr03,2,Houston Texans,3,85
Malcolm Mitchell,WR,72,198,4.45,36,15,129,6.94,4.34,2016,MitcMa01,4,New England Patriots,4,112
Chris Moore,WR,73,206,4.53,37,10,130,6.76,4.2,2016,MoorCh00,2,Baltimore Ravens,4,107
Marquez North,WR,74,223,4.48,35,17,123,6.9,4.13,2016,,0,,,
Jordan Payton,WR,73,207,4.47,34.5,,121,7.08,4.33,2016,PaytJo00,0,Cleveland Browns,5,154
Charone Peake,WR,74,209,4.45,35.5,12,122,6.96,4.46,2016,PeakCh00,1,New York Jets,7,241
Demarcus Robinson,WR,73,203,4.59,34.5,,123,6.77,4.19,2016,RobiDe01,2,Kansas City Chiefs,4,126
Alonzo Russell,WR,76,206,4.54,29.5,12,112,7.18,4.33,2016,RussAl01,0,,,
Rashawn Scott,WR,73,199,4.54,32.5,17,116,,,2016,ScotRa01,0,,,
Hunter Sharp,WR,71,198,4.58,32.5,12,116,7.12,4.19,2016,SharHu01,0,,,
Tajae Sharpe,WR,74,194,4.55,33.5,11,114,,,2016,SharTa00,5,Tennessee Titans,5,140
Sterling Shepard,WR,70,194,4.48,41,20,123,7,4.35,2016,ShepSt00,10,New York Giants,2,40
Nelson Spruce,WR,73,206,4.69,35,12,114,7.09,4.2,2016,SpruNe01,0,,,
Michael Thomas,WR,75,212,4.57,35,18,126,6.8,4.13,2016,ThomMi05,23,New Orleans Saints,2,47
Laquon Treadwell,WR,74,221,4.52,33,12,117,,,2016,TreaLa00,2,Minnesota Vikings,1,23
Duke Williams,WR,74,229,4.72,30,14,121,7.43,4.47,2016,WillDh00,0,,,
De'Runnya Wilson,WR,77,224,4.85,28,,113,,,2016,WilsDe00,0,,,
Rodney Adams,WR,73,189,4.44,29.5,8,125,6.98,4.28,2017,AdamRo01,0,Minnesota Vikings,5,170
Quincy Adeboyejo,WR,75,197,4.42,34.5,8,123,6.73,4.14,2017,AdebQu00,0,,,
Kendrick Bourne,WR,73,203,4.68,34,9,125,6.73,4.21,2017,,0,,,
Noah Brown,WR,74,222,4.56,,19,,7.07,4.33,2017,BrowNo00,0,Dallas Cowboys,7,239
K.D. Cannon,WR,71,182,4.41,37,13,119,,,2017,,0,,,
Jehu Chesson,WR,75,204,4.47,35.5,10,132,6.7,4.09,2017,ChesJe00,0,Kansas City Chiefs,4,139
Stacy Coley,WR,73,195,4.45,34,10,122,,,2017,ColeSt00,0,Minnesota Vikings,7,219
Amara Darboh,WR,74,214,4.45,36,17,124,,,2017,DarbAm00,1,Seattle Seahawks,3,106
Robert Davis,WR,75,219,4.44,41,19,136,6.82,4.28,2017,DaviRo00,0,Washington Redskins,6,209
Corey Davis,WR,75,209,4.48,,,,,,2017,DaviCo03,3,Tennessee Titans,1,5
Malachi Dupre,WR,74,196,4.52,39.5,11,135,7.19,4.26,2017,DuprMa01,0,Green Bay Packers,7,247
Travin Dural,WR,73,202,4.57,30.5,,116,7.29,4.55,2017,DuraTr00,0,,,
Amba Etta-Tawo,WR,73,208,4.49,31,14,126,6.95,4.32,2017,EttaAm00,0,,,
Isaiah Ford,WR,73,194,4.61,35.5,14,127,6.94,4.34,2017,FordIs00,0,Miami Dolphins,7,237
Shelton Gibson,WR,71,191,4.5,32,8,118,6.83,4.2,2017,GibsSh00,0,Philadelphia Eagles,5,166
Chris Godwin,WR,73,209,4.42,36,19,126,7.01,4,2017,GodwCh00,4,Tampa Bay Buccaneers,3,84
Kenny Golladay,WR,76,218,4.5,35.5,18,120,7,4.15,2017,GollKe00,4,Detroit Lions,3,96
Chad Hansen,WR,74,202,4.53,35,11,119,6.74,4.13,2017,HansCh00,1,New York Jets,4,141
Keon Hatcher,WR,73,212,4.64,,16,,,,2017,HatcKe00,0,,,
Carlos Henderson,WR,71,199,4.46,36,13,131,7.18,4.35,2017,HendCa01,0,Denver Broncos,3,82
Mack Hollins,WR,76,221,4.53,,,,,,2017,HollMa00,2,Philadelphia Eagles,4,118
Bug Howard,WR,76,221,4.58,37.5,,119,6.95,4.14,2017,HowaBu00,0,,,
Zay Jones,WR,74,201,4.45,36.5,15,133,6.79,4.01,2017,,0,,,
Greg Ward Jr.,WR,71,186,4.59,,10,,,,2017,WardGr00,0,,,
Victor Bolden Jr.,WR,68,178,4.54,32,9,117,6.83,4.22,2017,,0,,,
Cooper Kupp,WR,74,204,4.62,31,,116,6.75,4.08,2017,,0,,,
Jerome Lane,WR,74,226,4.6,35,16,125,6.87,4.12,2017,LaneJe01,0,,,
Keevan Lucas,WR,69,192,4.55,32.5,11,119,7.23,4.43,2017,LucaKe00,0,,,
Josh Malone,WR,75,208,4.4,30.5,10,121,7.05,4.19,2017,MaloJo00,1,Cincinnati Bengals,4,128
Gabe Marks,WR,71,189,4.56,29.5,11,117,7.01,4.2,2017,MarkGa00,0,,,
Isaiah McKenzie,WR,67,173,4.42,36,11,123,6.64,4.15,2017,McKeIs00,0,Denver Broncos,5,172
Drew Morgan,WR,72,190,4.74,30,10,112,6.85,4.12,2017,MorgDr00,0,,,
Speedy Noil,WR,71,199,4.45,43.5,18,133,,,2017,NoilSp00,0,,,
Zach Pascal,WR,74,219,4.55,36,14,126,7.11,4.29,2017,PascZa00,0,,,
James Quick,WR,72,186,4.6,31,11,115,7,4.39,2017,QuicJa00,0,,,
Michael Rector,WR,72,193,4.42,36.5,,129,6.77,4.19,2017,RectMi00,0,,,
Josh Reynolds,WR,75,194,4.52,37,,124,6.83,4.13,2017,ReynJo00,1,Los Angeles Rams,4,117
Jalen Robinette,WR,75,220,4.62,31.5,13,120,6.77,4.46,2017,RobiJa02,0,,,
Darreus Rogers,WR,73,216,4.82,26.5,8,112,7.22,4.54,2017,RogeDa02,0,,,
John Ross,WR,71,188,4.22,37,,133,,,2017,RossJo00,0,Cincinnati Bengals,1,9
Fred Ross,WR,73,213,4.51,35,10,113,6.99,4.28,2017,RossFr00,0,,,
Travis Rudolph,WR,72,189,4.65,31.5,12,114,6.93,4.46,2017,RudoTr00,1,,,
Curtis Samuel,WR,71,196,4.31,37,18,119,7.09,4.33,2017,SamuCu00,2,Carolina Panthers,2,40
Artavis Scott,WR,70,193,4.61,31,13,116,7.19,4.49,2017,ScotAr00,0,,,
Ricky Seals-Jones,WR,77,243,4.69,28,17,121,7.46,4.33,2017,SealRi00,1,,,
JuJu Smith-Schuster,WR,73,215,4.54,32.5,15,120,,,2017,SmitJu00,10,Pittsburgh Steelers,2,62
Jamari Staples,WR,75,195,4.51,36,,130,,,2017,StapJa00,0,,,
ArDarius Stewart,WR,71,204,4.49,34,,124,,,2017,StewAr00,1,New York Jets,3,79
Ryan Switzer,WR,68,181,4.51,32,11,116,6.77,4,2017,SwitRy00,1,Dallas Cowboys,4,133
Trent Taylor,WR,68,181,4.63,33,13,117,6.74,4.01,2017,TaylTr02,3,San Francisco 49ers,5,177
Taywan Taylor,WR,71,203,4.5,33.5,13,132,6.57,4.21,2017,TaylTa00,2,Tennessee Titans,3,72
Noel Thomas,WR,72,205,4.63,32.5,9,118,,,2017,ThomNo00,0,,,
Dede Westbrook,WR,72,178,4.39,,,,,,2017,WestDe00,3,Jacksonville Jaguars,4,110
Kermit Whitfield,WR,68,185,4.44,32.5,8,120,7.17,4.37,2017,WhitKe02,0,,,
Mike Williams,WR,76,218,4.52,32.5,15,121,,,2017,WillMi07,1,Los Angeles Chargers,1,7
Jesus Wilson,WR,69,189,4.57,,10,119,,4.57,2017,WilsJe00,0,,,
Dante Pettis ,WR,72,186,4.32,,,,,,2018,PettDa00,0,,,
Marcell Ateman,WR,76,216,4.62,34,13,121,7.07,4.25,2018,AtemMa00,0,,,
Braxton Berrios,WR,69,184,4.44,,11,,,,2018,BerrBr00,0,,,
Equanimeous St. brown,WR,77,214,4.48,,20,,,,2018,St.BEq00,0,,,
Deontay Burnett,WR,72,186,4.7,,,,,,2018,BurnDe00,0,,,
Deon Cain,WR,74,202,4.43,33.5,11,115,6.71,4.37,2018,CainDe00,0,,,
Antonio Callaway,WR,71,200,4.41,34,,121,,,2018,CallAn00,0,,,
Dylan Cantrell,WR,75,226,4.59,38.5,18,130,6.56,4.03,2018,CantDy00,0,,,
D.J. Chark,WR,75,199,4.34,40,16,129,,,2018,,0,,,
Simmie Cobbs,WR,75,220,4.64,30,11,113,6.7,4.32,2018,CobbSi00,0,,,
Keke Coutee,WR,70,181,4.43,34.5,14,113,6.93,4.15,2018,CoutKe00,0,,,
Robert Foster,WR,74,196,4.41,31,,116,6.9,4.2,2018,,0,,,
Michael Gallup,WR,73,205,4.51,36,10,122,6.95,4.37,2018,GallMi00,0,,,
Davon Grayson,WR,73,199,4.51,34.5,19,124,,,2018,,0,,,
Daesean Hamilton,WR,73,203,4.52,34.5,,118,6.84,4.15,2018,HamiDa01,0,,,
Quadree Henderson,WR,68,192,4.5,32.5,12,120,6.89,4.28,2018,HendQu00,0,,,
Darren Carrington II,WR,74,199,4.78,36,,120,,,2018,,0,,,
Richie James,WR,70,183,4.48,35.5,6,122,6.87,4.16,2018,,0,,,
Christian Kirk,WR,70,201,4.47,35.5,20,115,7.09,4.45,2018,KirkCh01,0,,,
Chris Lacy,WR,75,205,4.51,33.5,11,120,,,2018,,0,,,
Jordan Lasley,WR,73,203,4.5,34.5,8,112,,4.19,2018,LaslJo00,0,,,
Allen Lazard,WR,77,227,4.55,38,17,122,,,2018,LazaAl00,0,,,
Tavares Martin,WR,73,177,4.8,31.5,,,,,2018,,0,,,
Ray-ray McCloud,WR,69,190,4.53,34.5,13,113,,,2018,,0,,,
Anthony Miller,WR,71,201,4.5,,22,,,,2018,MillAn02,0,,,
Steven Mitchell,WR,70,189,4.56,32.5,13,121,6.75,4.4,2018,,0,,,
D.J. Moore,WR,72,210,4.42,39.5,15,132,6.95,4.07,2018,MoorD.00,0,,,
Jmon Moore,WR,75,207,4.6,38,21,120,6.56,4.04,2018,,0,,,
Cam Phillips,WR,72,201,4.79,,,,,,2018,PhilCa01,0,,,
Byron Pringle,WR,73,203,4.46,33.5,15,120,6.87,4.4,2018,PrinBy00,0,,,
Trey Quinn,WR,71,203,4.55,33.5,17,116,6.91,4.19,2018,QuinTr00,0,,,
Calvin Ridley,WR,72,189,4.43,31,15,110,6.88,4.41,2018,RidlCa00,0,,,
Korey Robertson,WR,73,212,4.56,34,13,123,,,2018,RobeKo00,0,,,
Jaleel Scott,WR,77,218,4.56,34.5,16,124,7.2,4.4,2018,,0,,,
Trequan Smith,WR,74,203,4.49,37.5,12,130,6.97,4.5,2018,,0,,,
Courtland Sutton,WR,75,218,4.54,35.5,18,124,6.57,4.11,2018,SuttCo00,0,,,
Auden Tate,WR,77,228,4.68,31,,112,,,2018,TateAu00,0,,,
Marquez Valdes-Scantling,WR,76,206,4.37,30.5,15,124,,,2018,,0,,,
James Washington,WR,71,213,4.54,34.5,14,120,7.11,4.32,2018,WashJa00,0,,,
Jester Weah,WR,74,211,4.43,38,15,129,7.24,4.41,2018,WeahJe00,0,,,
Karaun White,WR,73,206,4.52,33.5,24,118,7.16,4.57,2018,,0,,,
Jake Wieneke,WR,76,221,4.67,34,9,114,7.24,4.37,2018,,0,,,
Cedrick Wilson,WR,74,197,4.55,37,9,121,6.89,4.23,2018,WilsCe01,0,,,
Javon Wims,WR,75,215,4.53,33.5,,113,7,,2018,WimsJa00,0,,,
