Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Jimmy Smith*,JAX,30,WR,1999,16,16,173,116,67.10%,1636,14.1,6,86,63,62,9.5,7.3,102.3,1,SmitJi00
2,Marvin Harrison*+,IND,27,WR,1999,16,16,184,115,62.50%,1663,14.5,12,79,52.2,57,9,7.2,103.9,2,HarrMa00
3,Muhsin Muhammad*,CAR,26,WR,1999,15,15,157,96,61.10%,1253,13.1,8,63,54.1,60,8,6.4,83.5,1,MuhaMu00
4,Tim Brown*,OAK,33,WR,1999,16,16,145,90,62.10%,1344,14.9,6,64,55.2,47,9.3,5.6,84,0,BrowTi00
5,Cris Carter*+,MIN,34,WR,1999,16,16,137,90,65.70%,1241,13.8,13,66,58.4,68,9.1,5.6,77.6,0,CartCr00
6,Keyshawn Johnson*,NYJ,27,WR,1999,16,16,124,89,71.80%,1170,13.1,8,58,65.3,65,9.4,5.6,73.1,0,JohnKe00
7,Bobby Engram,CHI,26,WR,1999,16,14,148,88,59.50%,947,10.8,4,47,48.6,56,6.4,5.5,59.2,2,EngrBo00
8,Marshall Faulk*+,STL,26,RB,1999,16,16,103,87,84.50%,1048,12,5,40,58.3,57,10.2,5.4,65.5,2,FaulMa00
9,Marcus Robinson,CHI,24,WR,1999,16,11,149,84,56.40%,1400,16.7,9,56,49,80,9.4,5.3,87.5,0,RobiMa00
10,Germane Crowell,DET,23,WR,1999,16,15,148,81,54.70%,1338,16.5,7,54,48,77,9,5.1,83.6,1,CrowGe00
11,Terance Mathis,ATL,32,WR,1999,16,16,154,81,52.60%,1016,12.5,6,57,46.1,52,6.6,5.1,63.5,0,MathTe00
12,Rocket Ismail,DAL,30,WR,1999,16,14,125,80,64.00%,1097,13.7,6,41,45.6,76,8.8,5,68.6,1,IsmaRa00
13,Johnnie Morton,DET,28,WR,1999,16,12,133,80,60.20%,1129,14.1,5,52,51.1,48,8.5,5,70.6,0,MortJo00
