Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Andre Johnson*,HOU,25,WR,2006,16,16,163,103,63.20%,1147,11.1,5,56,50.3,53,7,6.4,71.7,1,JohnAn02
2,Mike Furrey,DET,29,WR,2006,16,14,146,98,67.10%,1086,11.1,6,55,56.2,31,7.4,6.1,67.9,1,FurrMi00
3,Marvin Harrison*+,IND,34,WR,2006,16,16,148,95,64.20%,1366,14.4,12,78,60.1,68,9.2,5.9,85.4,1,HarrMa00
4,Torry Holt*,STL,30,WR,2006,16,16,179,93,52.00%,1188,12.8,10,66,47.5,67,6.6,5.8,74.3,2,HoltTo00
5,Donald Driver*,GNB,31,WR,2006,16,16,173,92,53.20%,1295,14.1,8,54,48,82,7.5,5.8,80.9,1,DrivDo00
6,Laveranues Coles,NYJ,29,WR,2006,16,16,152,91,59.90%,1098,12.1,6,53,49.3,58,7.2,5.7,68.6,1,ColeLa00
7,T.J. Houshmandzadeh,CIN,29,WR,2006,14,13,132,90,68.20%,1081,12,9,58,56.1,40,8.2,6.4,77.2,0,HousTJ00
8,Steven Jackson*,STL,23,RB,2006,16,16,110,90,81.80%,806,9,3,32,51.8,64,7.3,5.6,50.4,4,JackSt00
9,Kellen Winslow,CLE,23,TE,2006,16,16,120,89,74.20%,875,9.8,3,41,53.3,40,7.3,5.6,54.7,1,WinsKe01
10,Reggie Bush,NOR,21,RB,2006,16,8,121,88,72.70%,742,8.4,2,34,43.8,74,6.1,5.5,46.4,2,BushRe00
11,Chad Johnson*+,CIN,28,WR,2006,16,16,152,87,57.20%,1369,15.7,7,67,55.3,74,9,5.4,85.6,1,JohnCh01
12,Reggie Wayne*,IND,28,WR,2006,16,16,137,86,62.80%,1310,15.2,9,72,60.6,51,9.6,5.4,81.9,1,WaynRe00
13,Terrell Owens,DAL,33,WR,2006,16,15,150,85,56.70%,1180,13.9,13,63,50.7,56,7.9,5.3,73.8,0,OwenTe00
14,Anquan Boldin*,ARI,26,WR,2006,16,16,152,83,54.60%,1203,14.5,4,55,46.7,64,7.9,5.2,75.2,1,BoldAn00
15,Steve Smith Sr.*,CAR,27,WR,2006,14,14,139,83,59.70%,1166,14,8,52,51.1,72,8.4,5.9,83.3,2,SmitSt01
16,Jerricho Cotchery,NYJ,24,WR,2006,16,16,125,82,65.60%,961,11.7,6,53,57.6,71,7.7,5.1,60.1,0,CotcJe00
17,Lee Evans,BUF,25,WR,2006,16,15,137,82,59.90%,1292,15.8,8,54,55.5,83,9.4,5.1,80.8,1,EvanLe00
18,Roy Williams*,DET,25,WR,2006,16,16,151,82,54.30%,1310,16,7,66,51.7,60,8.7,5.1,81.9,2,WillRo04
19,Brian Westbrook,PHI,27,RB,2006,15,14,105,77,73.30%,699,9.1,4,30,53.3,52,6.7,5.1,46.6,2,WestBr00
20,Isaac Bruce,STL,34,WR,2006,16,13,126,74,58.70%,1098,14.8,3,54,54,45,8.7,4.6,68.6,0,BrucIs00
21,Hines Ward,PIT,30,WR,2006,14,14,126,74,58.70%,975,13.2,6,51,52.4,70,7.7,5.3,69.6,2,WardHi00
22,Tony Gonzalez*,KAN,30,TE,2006,15,15,104,73,70.20%,900,12.3,5,53,58.7,57,8.7,4.9,60,1,GonzTo00
23,Todd Heap,BAL,26,TE,2006,16,16,116,73,62.90%,765,10.5,6,40,51.7,30,6.6,4.6,47.8,0,HeapTo00
24,Antonio Gates*+,SDG,26,TE,2006,16,16,120,71,59.20%,924,13,9,49,52.5,57,7.7,4.4,57.8,0,GateAn00
25,Marques Colston,NOR,23,WR,2006,14,12,115,70,60.90%,1038,14.8,8,51,56.5,86,9,5,74.1,0,ColsMa00
26,Terry Glenn,DAL,32,WR,2006,15,14,111,70,63.10%,1047,15,6,47,55.9,54,9.4,4.7,69.8,0,GlenTe00
27,Keyshawn Johnson,CAR,34,WR,2006,16,16,128,70,54.70%,815,11.6,4,42,51.6,40,6.4,4.4,50.9,1,JohnKe00
28,Larry Fitzgerald,ARI,23,WR,2006,13,13,111,69,62.20%,946,13.7,6,52,59.5,57,8.5,5.3,72.8,0,FitzLa00
29,Javon Walker,DEN,28,WR,2006,16,16,126,69,54.80%,1084,15.7,8,53,49.2,83,8.6,4.3,67.8,0,WalkJa00
30,Derrick Mason,BAL,32,WR,2006,16,15,112,68,60.70%,750,11,2,45,51.8,38,6.7,4.3,46.9,1,MasoDe00
31,Mark Clayton,BAL,24,WR,2006,16,12,113,67,59.30%,939,14,5,42,45.1,87,8.3,4.2,58.7,0,ClayMa01
32,Wes Welker,MIA,25,WR,2006,16,2,100,67,67.00%,687,10.3,1,33,51,38,6.9,4.2,42.9,3,WelkWe00
33,Jeremy Shockey*,NYG,26,TE,2006,15,15,115,66,57.40%,623,9.4,7,37,50.4,25,5.4,4.4,41.5,0,ShocJe00
