Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
116,Quincy Morgan,2TM,27,WR,2004,15,12,68,31,45.60%,404,13,3,19,39.7,53,5.9,2.1,26.9,1,MorgQu00
117,Koren Robinson,SEA,24,WR,2004,10,8,67,31,46.30%,495,16,2,22,41.8,33,7.4,3.1,49.5,0,RobiKo00
118,Jerramy Stevens,SEA,25,TE,2004,16,5,47,31,66.00%,349,11.3,3,19,57.4,32,7.4,1.9,21.8,0,StevJe00
119,Kelley Washington,CIN,25,WR,2004,16,2,50,31,62.00%,378,12.2,3,19,52,28,7.6,1.9,23.6,0,WashKe00
120,Darius Watts,DEN,23,WR,2004,16,2,53,31,58.50%,385,12.4,1,18,50.9,28,7.3,1.9,24.1,1,WattDa00
121,Daniel Graham,NWE,26,TE,2004,14,14,48,30,62.50%,364,12.1,7,20,56.3,48,7.6,2.1,26,0,GrahDa00
122,Jerry Rice,2TM,42,WR,2004,17,14,64,30,46.90%,429,14.3,3,21,43.8,56,6.7,1.8,25.2,0,RiceJe00
123,Chester Taylor,BAL,25,RB,2004,16,4,38,30,78.90%,184,6.1,0,10,47.4,23,4.8,1.9,11.5,1,TaylCh01
124,Dez White,ATL,25,WR,2004,16,15,56,30,53.60%,370,12.3,2,16,39.3,54,6.6,1.9,23.1,0,WhitDe00
125,Mike Alstott,TAM,31,FB,2004,14,11,41,29,70.70%,202,7,0,11,36.6,20,4.9,2.1,14.4,2,AlstMi00
126,Derick Armstrong,HOU,25,WR,2004,14,1,39,29,74.40%,415,14.3,1,21,66.7,44,10.6,2.1,29.6,0,ArmsDe00
127,Warrick Dunn,ATL,29,RB,2004,16,16,39,29,74.40%,294,10.1,0,9,43.6,59,7.5,1.8,18.4,3,DunnWa00
128,Chad Lewis,PHI,33,TE,2004,15,9,46,29,63.00%,267,9.2,3,16,56.5,21,5.8,1.9,17.8,0,LewiCh00
129,Marcus Pollard,IND,32,TE,2004,13,13,41,29,70.70%,309,10.7,6,17,61,31,7.5,2.2,23.8,0,PollMa00
130,Aaron Stecker,NOR,29,RB,2004,16,3,38,29,76.30%,174,6,0,8,34.2,26,4.6,1.8,10.9,1,StecAa00
131,Steve Heiden,CLE,28,TE,2004,13,13,42,28,66.70%,287,10.3,5,14,54.8,30,6.8,2.2,22.1,1,HeidSt00
132,Kevin Jones,DET,22,RB,2004,15,14,41,28,68.30%,180,6.4,1,8,46.3,34,4.4,1.9,12,2,JoneKe02
133,Patrick Pass,NWE,27,FB,2004,14,4,32,28,87.50%,215,7.7,0,7,40.6,22,6.7,2,15.4,1,PassPa00
134,Tai Streets,DET,27,WR,2004,13,12,56,28,50.00%,260,9.3,1,13,35.7,22,4.6,2.2,20,0,StreTa00
135,LaBrandon Toefield,JAX,24,RB,2004,14,0,34,28,82.40%,151,5.4,1,13,52.9,16,4.4,2,10.8,1,ToefLa00
136,Corey Bradford,HOU,29,WR,2004,15,10,54,27,50.00%,399,14.8,3,20,42.6,47,7.4,1.8,26.6,0,BradCo00
137,Todd Heap,BAL,24,TE,2004,6,5,44,27,61.40%,303,11.2,3,17,50,37,6.9,4.5,50.5,0,HeapTo00
138,Doug Jolley,OAK,25,TE,2004,16,13,48,27,56.30%,313,11.6,2,14,47.9,34,6.5,1.7,19.6,0,JollDo00
139,Joe Jurevicius,TAM,30,WR,2004,10,3,37,27,73.00%,333,12.3,2,15,62.2,42,9,2.7,33.3,0,JureJo00
140,Mewelde Moore,MIN,22,RB,2004,10,3,32,27,84.40%,238,8.8,0,8,53.1,26,7.4,2.7,23.8,0,MoorMe00
141,Reggie Williams,JAX,21,WR,2004,16,15,54,27,50.00%,268,9.9,1,14,40.7,26,5,1.7,16.8,1,WillRe00
142,Richie Anderson,DAL,33,FB,2004,12,4,41,26,63.40%,207,8,0,7,41.5,28,5,2.2,17.3,1,AndeRi00
143,Kevin Faulk,NWE,28,RB,2004,11,1,30,26,86.70%,248,9.5,1,14,50,31,8.3,2.4,22.5,2,FaulKe00
144,Randy Hymes,BAL,25,WR,2004,14,7,48,26,54.20%,323,12.4,2,17,47.9,57,6.7,1.9,23.1,0,HymeRa00
145,Aaron Shea,CLE,28,TE,2004,15,8,48,26,54.20%,252,9.7,4,13,37.5,35,5.3,1.7,16.8,0,SheaAa00
146,Derrick Blaylock,KAN,25,RB,2004,12,5,36,25,69.40%,246,9.8,1,10,44.4,30,6.8,2.1,20.5,0,BlayDe00
147,Dallas Clark,IND,25,TE,2004,15,13,39,25,64.10%,423,16.9,5,18,56.4,80,10.8,1.7,28.2,2,ClarDa00
148,Dante Hall,KAN,26,WR,2004,16,6,38,25,65.80%,230,9.2,0,15,52.6,22,6.1,1.6,14.4,1,HallDa00
149,Erron Kinney,TEN,27,TE,2004,9,9,30,25,83.30%,193,7.7,3,14,70,21,6.4,2.8,21.4,0,KinnEr00
150,Shad Meier,TEN,26,TE,2004,14,6,36,25,69.40%,127,5.1,2,6,36.1,29,3.5,1.8,9.1,1,MeieSh00
151,Kenny Watson,CIN,26,RB,2004,16,0,35,25,71.40%,171,6.8,1,9,34.3,21,4.9,1.6,10.7,2,WatsKe00
152,Daniel Wilcox,BAL,27,TE,2004,16,5,35,25,71.40%,219,8.8,1,12,57.1,20,6.3,1.6,13.7,1,WilcDa01
153,Tim Brown,TAM,38,WR,2004,15,4,31,24,77.40%,200,8.3,1,8,51.6,21,6.5,1.6,13.3,2,BrowTi00
154,Desmond Clark,CHI,27,TE,2004,15,13,49,24,49.00%,282,11.8,1,14,44.9,31,5.8,1.6,18.8,1,ClarDe00
155,Robert Ferguson,GNB,25,WR,2004,13,5,49,24,49.00%,367,15.3,1,18,40.8,48,7.5,1.8,28.2,1,FergRo00
156,Terry Glenn,DAL,30,WR,2004,6,6,38,24,63.20%,400,16.7,2,16,60.5,48,10.5,4,66.7,0,GlenTe00
157,Clarence Moore,BAL,22,WR,2004,15,6,58,24,41.40%,293,12.2,4,18,32.8,52,5.1,1.6,19.5,0,MoorCl00
158,Shaun Alexander*,SEA,27,RB,2004,16,16,38,23,60.50%,170,7.4,4,9,39.5,24,4.5,1.4,10.6,5,AlexSh00
159,Brian Finneran,ATL,28,WR,2004,12,1,33,23,69.70%,258,11.2,2,16,60.6,26,7.8,1.9,21.5,1,FinnBr00
160,Itula Mili,SEA,31,TE,2004,15,4,36,23,63.90%,240,10.4,1,14,52.8,20,6.7,1.5,16,0,MiliIt00
161,Derrius Thompson,MIA,27,WR,2004,16,3,48,23,47.90%,359,15.6,4,18,39.6,36,7.5,1.4,22.4,0,ThomDe00
162,Dwayne Carswell,DEN,32,TE,2004,15,14,36,22,61.10%,198,9,1,10,50,20,5.5,1.5,13.2,0,CarsDw00
163,Antonio Chatman,GNB,25,WR,2004,16,2,45,22,48.90%,246,11.2,1,15,46.7,21,5.5,1.4,15.4,3,ChatAn00
164,Justin Griffith,ATL,24,FB,2004,12,11,31,22,71.00%,220,10,1,10,45.2,62,7.1,1.8,18.3,0,GrifJu00
165,Larry Johnson,KAN,25,RB,2004,10,3,29,22,75.90%,278,12.6,2,13,62.1,40,9.6,2.2,27.8,0,JohnLa00
166,Willis McGahee,BUF,23,RB,2004,16,11,36,22,61.10%,169,7.7,0,8,38.9,16,4.7,1.4,10.6,4,McGaWi00
167,Freddie Mitchell,PHI,26,WR,2004,16,9,45,22,48.90%,377,17.1,2,18,42.2,60,8.4,1.4,23.6,0,MitcFr00
168,Sammy Morris,MIA,27,RB,2004,13,8,28,22,78.60%,124,5.6,0,5,35.7,24,4.4,1.7,9.5,1,MorrSa00
169,Antowain Smith,TEN,32,RB,2004,13,4,26,22,84.60%,169,7.7,0,7,50,31,6.5,1.7,13,2,SmitAn00
170,Michael Bennett,MIN,26,RB,2004,11,7,23,21,91.30%,207,9.9,1,6,69.6,38,9,1.9,18.8,1,BennMi00
171,Brad Hoover,CAR,28,FB,2004,14,9,32,21,65.60%,161,7.7,2,7,40.6,34,5,1.5,11.5,0,HoovBr00
172,Terry Jackson,SFO,28,FB,2004,16,0,30,21,70.00%,139,6.6,0,5,26.7,22,4.6,1.3,8.7,3,JackTe00
173,Matt Schobel,CIN,26,TE,2004,16,1,33,21,63.60%,201,9.6,4,10,39.4,76,6.1,1.3,12.6,1,SchoMa00
174,Mack Strong,SEA,33,FB,2004,16,13,31,21,67.70%,99,4.7,0,8,35.5,13,3.2,1.3,6.2,2,StroMa00
175,Moe Williams,MIN,30,RB,2004,14,1,27,21,77.80%,233,11.1,1,10,44.4,28,8.6,1.5,16.6,0,WillMo00
