Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Justin Jefferson*+,MIN,23,WR,2022,17,17,184,128,69.60%,1809,14.1,8,80,57.6,64,9.8,7.5,106.4,0,JeffJu00
2,Tyreek Hill*+,MIA,28,WR,2022,17,17,170,119,70.00%,1710,14.4,7,77,56.5,64,10.1,7,100.6,1,HillTy00
3,Travis Kelce*+,KAN,33,TE,2022,17,17,152,110,72.40%,1338,12.2,12,78,63.2,52,8.8,6.5,78.7,1,KelcTr00
4,Stefon Diggs*,BUF,29,WR,2022,16,16,154,108,70.10%,1429,13.2,11,74,64.3,53,9.3,6.8,89.3,1,DiggSt00
5,Austin Ekeler,LAC,27,RB,2022,17,17,127,107,84.30%,722,6.7,5,36,48,23,5.7,6.3,42.5,5,EkelAu00
6,CeeDee Lamb*,DAL,23,WR,2022,17,17,156,107,68.60%,1359,12.7,9,67,55.1,39,8.7,6.3,79.9,0,LambCe00
7,Amon-Ra St. Brown*,DET,23,WR,2022,16,16,146,106,72.60%,1161,11,6,68,62.3,49,8,6.6,72.6,0,StxxAm00
8,Chris Godwin,TAM,26,WR,2022,15,13,142,104,73.20%,1023,9.8,3,53,60.6,44,7.2,6.9,68.2,2,GodwCh00
9,Davante Adams*+,LVR,30,WR,2022,17,17,180,100,55.60%,1516,15.2,14,65,46.1,60,8.4,5.9,89.2,1,AdamDa01
10,Michael Pittman Jr.,IND,25,WR,2022,16,16,141,99,70.20%,925,9.3,4,51,53.9,28,6.6,6.2,57.8,2,PittMi01
11,DeVonta Smith,PHI,24,WR,2022,17,17,136,95,69.90%,1196,12.6,7,57,54.4,45,8.8,5.6,70.4,1,SmitDe07
12,D.K. Metcalf,SEA,25,WR,2022,17,17,141,90,63.80%,1048,11.6,6,47,49.6,54,7.4,5.3,61.6,2,MetcDK00
13,A.J. Brown*,PHI,25,WR,2022,17,16,145,88,60.70%,1496,17,11,59,51.7,78,10.3,5.2,88,2,BrowAJ00
14,Ja'Marr Chase*,CIN,22,WR,2022,12,12,134,87,64.90%,1046,12,9,58,55.2,60,7.8,7.3,87.2,2,ChasJa00
15,T.J. Hockenson*,2TM,25,TE,2022,17,14,129,86,66.70%,914,10.6,6,44,47.3,81,7.1,5.1,53.8,1,HockTJ00
16,Diontae Johnson,PIT,26,WR,2022,17,17,147,86,58.50%,882,10.3,0,45,49,37,6,5.1,51.9,1,JohnDi01
17,Christian McCaffrey*,2TM,26,RB,2022,17,16,108,85,78.70%,741,8.7,5,36,52.8,49,6.9,5,43.6,1,McCaCh01
18,Christian Kirk,JAX,26,WR,2022,17,17,133,84,63.20%,1108,13.2,8,55,52.6,49,8.3,4.9,65.2,1,KirkCh01
19,Tyler Lockett,SEA,30,WR,2022,16,16,117,84,71.80%,1033,12.3,9,50,60.7,40,8.8,5.3,64.6,2,LockTy00
20,Garrett Wilson,NYJ,22,WR,2022,17,12,147,83,56.50%,1103,13.3,4,56,47.6,60,7.5,4.9,64.9,2,WilsGa00
21,Zay Jones,JAX,27,WR,2022,16,15,121,82,67.80%,823,10,5,44,54.5,59,6.8,5.1,51.4,0,JoneZa00
22,Brandon Aiyuk,SFO,24,WR,2022,17,17,114,78,68.40%,1015,13,8,47,59.6,54,8.9,4.6,59.7,1,AiyuBr00
