Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Tim Brown*,OAK,31,WR,1997,16,16,162,104,64.20%,1408,13.5,5,66,57.4,59,8.7,6.5,88,1,BrowTi00
2,Herman Moore*+,DET,28,WR,1997,16,16,170,104,61.20%,1293,12.4,8,63,53.5,79,7.6,6.5,80.8,0,MoorHe00
3,Rob Moore*+,ARI,29,WR,1997,16,16,208,97,46.60%,1584,16.3,8,68,41.3,47,7.6,6.1,99,0,MoorRo00
4,Cris Carter*,MIN,32,WR,1997,16,16,158,89,56.30%,1069,12,13,55,48.7,43,6.8,5.6,66.8,3,CartCr00
5,Irving Fryar*,PHI,35,WR,1997,16,16,153,86,56.20%,1316,15.3,6,63,50.3,72,8.6,5.4,82.3,1,FryaIr00
6,Keenan McCardell,JAX,27,WR,1997,16,16,129,85,65.90%,1164,13.7,5,56,58.1,60,9,5.3,72.8,0,McCaKe00
7,Jimmy Smith*,JAX,28,WR,1997,16,16,152,82,53.90%,1324,16.1,4,63,47.4,75,8.7,5.1,82.8,1,SmitJi00
8,Antonio Freeman,GNB,25,WR,1997,16,16,137,81,59.10%,1243,15.3,12,62,55.5,58,9.1,5.1,77.7,1,FreeAn00
9,Johnnie Morton,DET,26,WR,1997,16,16,148,80,54.10%,1057,13.2,6,51,43.9,73,7.1,5,66.1,2,MortJo00
10,Yancey Thigpen*,PIT,28,WR,1997,16,15,149,79,53.00%,1398,17.7,7,61,46.3,69,9.4,4.9,87.4,1,ThigYa00
11,O.J. McDuffie,MIA,28,WR,1997,16,16,118,76,64.40%,943,12.4,1,0,0,55,8,4.8,58.9,0,McDuO.00
12,Michael Irvin,DAL,31,WR,1997,16,16,157,75,47.80%,1180,15.7,9,59,44.6,55,7.5,4.7,73.8,0,IrviMi00
13,Frank Sanders,ARI,24,WR,1997,16,16,143,75,52.40%,1017,13.6,4,49,44.1,70,7.1,4.7,63.6,3,SandFr00
14,Marvin Harrison,IND,25,WR,1997,16,15,117,73,62.40%,866,11.9,6,46,55.6,44,7.4,4.6,54.1,2,HarrMa00
15,Joey Galloway,SEA,26,WR,1997,15,15,147,72,49.00%,1049,14.6,12,55,47.6,53,7.1,4.8,69.9,1,GallJo00
16,Andre Rison*,KAN,30,WR,1997,16,16,151,72,47.70%,1092,15.2,7,53,43.7,45,7.2,4.5,68.3,0,RisoAn00
17,Shannon Sharpe*+,DEN,29,TE,1997,16,16,114,72,63.20%,1107,15.4,3,49,57,68,9.7,4.5,69.2,1,SharSh00
18,Keyshawn Johnson,NYJ,25,WR,1997,16,16,135,70,51.90%,963,13.8,5,49,47.4,39,7.1,4.4,60.2,0,JohnKe00
19,Rod Smith,DEN,27,WR,1997,16,16,131,70,53.40%,1180,16.9,12,52,47.3,78,9,4.4,73.8,3,SmitRo01
20,Michael Jackson,BAL,28,WR,1997,16,15,137,69,50.40%,918,13.3,4,43,43.1,54,6.7,4.3,57.4,2,JackMi00
21,Sean Dawkins,IND,26,WR,1997,14,12,111,68,61.30%,804,11.8,2,39,53.2,51,7.2,4.9,57.4,0,DawkSe00
22,Jake Reed,MIN,30,WR,1997,16,16,118,68,57.60%,1138,16.7,6,57,55.9,56,9.6,4.3,71.1,0,ReedJa00
23,Ben Coates*,NWE,28,TE,1997,16,16,98,66,67.30%,737,11.2,8,36,55.1,35,7.5,4.1,46.1,0,CoatBe00
24,Derrick Alexander,BAL,26,WR,1997,15,13,124,65,52.40%,1009,15.5,9,39,46.8,92,8.1,4.3,67.3,1,AlexDe00
25,Bert Emanuel,ATL,27,WR,1997,16,16,140,65,46.40%,991,15.2,9,48,40.7,56,7.1,4.1,61.9,2,EmanBe00
26,Eric Green,BAL,30,TE,1997,16,15,100,65,65.00%,601,9.2,5,29,51,37,6,4.1,37.6,1,GreeEr00
27,Mike Pritchard,SEA,28,WR,1997,16,15,115,64,55.70%,843,13.2,2,41,49.6,61,7.3,4,52.7,2,PritMi00
28,Tony Martin,SDG,32,WR,1997,16,16,146,63,43.20%,904,14.3,6,46,39.7,72,6.2,3.9,56.5,0,MartTo00
29,Frank Wycheck,TEN,26,TE,1997,16,16,99,63,63.60%,748,11.9,4,39,50.5,42,7.6,3.9,46.8,0,WychFr00
30,Terance Mathis,ATL,30,WR,1997,16,16,109,62,56.90%,802,12.9,6,40,53.2,49,7.4,3.9,50.1,0,MathTe00
31,Amp Lee,STL,26,RB,1997,16,1,93,61,65.60%,825,13.5,3,32,44.1,62,8.9,3.8,51.6,0,LeexAm00
32,Robert Brooks,GNB,27,WR,1997,15,15,118,60,50.80%,1010,16.8,7,43,46.6,48,8.6,4,67.3,0,BrooRo00
33,Quinn Early,BUF,32,WR,1997,16,16,122,60,49.20%,853,14.2,5,39,40.2,45,7,3.8,53.3,0,EarlQu00
34,Terrell Owens,SFO,24,WR,1997,16,15,103,60,58.30%,936,15.6,8,48,55.3,56,9.1,3.8,58.5,1,OwenTe00
35,Andre Reed,BUF,33,WR,1997,15,15,114,60,52.60%,880,14.7,5,38,43.9,77,7.7,4,58.7,1,ReedAn00
36,Kimble Anders*,KAN,31,FB,1997,15,14,72,59,81.90%,453,7.7,2,22,40.3,55,6.3,3.9,30.2,3,AndeKi00
37,Chris Calloway,NYG,29,WR,1997,16,16,98,58,59.20%,849,14.6,8,41,51,68,8.7,3.6,53.1,0,CallCh00
38,Wayne Chrebet,NYJ,24,WR,1997,16,1,102,58,56.90%,799,13.8,3,34,45.1,70,7.8,3.6,49.9,0,ChreWa00
39,Ricky Proehl,CHI,29,WR,1997,15,10,105,58,55.20%,753,13,7,40,46.7,78,7.2,3.9,50.2,2,ProeRi00
40,J.J. Stokes,SFO,25,WR,1997,16,16,80,58,72.50%,733,12.6,4,0,0,36,9.2,3.6,45.8,1,StokJ.00
41,Wesley Walls*,CAR,31,TE,1997,15,15,97,58,59.80%,746,12.9,6,41,52.6,52,7.7,3.9,49.7,0,WallWe00
42,Isaac Bruce,STL,25,WR,1997,12,12,119,56,47.10%,815,14.6,5,37,37.8,59,6.8,4.7,67.9,1,BrucIs00
43,Randal Hill,NOR,28,WR,1997,15,15,95,55,57.90%,761,13.8,2,28,44.2,89,8,3.7,50.7,0,HillRa00
44,Larry Centers,ARI,29,FB,1997,15,14,75,54,72.00%,409,7.6,1,22,48,29,5.5,3.6,27.3,1,CentLa00
45,Shawn Jefferson,NWE,28,WR,1997,16,14,93,54,58.10%,841,15.6,2,37,51.6,76,9,3.4,52.6,2,JeffSh00
46,Darnay Scott,CIN,25,WR,1997,16,15,97,54,55.70%,797,14.8,5,41,54.6,77,8.2,3.4,49.8,0,ScotDa00
47,Dorsey Levens*,GNB,27,RB,1997,16,16,67,53,79.10%,370,7,5,18,46.3,56,5.5,3.3,23.1,5,LeveDo00
48,Carl Pickens,CIN,27,WR,1997,12,12,95,52,54.70%,695,13.4,5,29,51.6,50,7.3,4.3,57.9,1,PickCa00
49,Jamie Asher,WAS,25,TE,1997,16,13,99,49,49.50%,474,9.7,1,27,35.4,24,4.8,3.1,29.6,0,AsheJa00
50,Rickey Dudley,OAK,25,TE,1997,16,16,91,48,52.70%,787,16.4,7,32,41.8,76,8.6,3,49.2,0,DudlRi00
51,Andre Hastings,NOR,27,WR,1997,16,16,118,48,40.70%,722,15,5,31,32.2,39,6.1,3,45.1,1,HastAn00
52,Kevin Turner,PHI,28,FB,1997,16,10,62,48,77.40%,443,9.2,3,24,53.2,36,7.1,3,27.7,1,TurnKe00
53,Ricky Watters,PHI,28,RB,1997,16,16,73,48,65.80%,440,9.2,0,20,43.8,37,6,3,27.5,3,WattRi00
54,Eric Bjornson,DAL,26,TE,1997,14,14,68,47,69.10%,442,9.4,0,21,52.9,32,6.5,3.4,31.6,2,BjorEr00
55,Marshall Faulk,IND,24,RB,1997,16,16,73,47,64.40%,471,10,1,15,35.6,58,6.5,2.9,29.4,5,FaulMa00
