Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Wes Welker*+,NWE,28,WR,2009,14,13,162,123,75.90%,1348,11,4,71,66,58,8.3,8.8,96.3,2,WelkWe00
2,Steve Smith*,NYG,24,WR,2009,16,15,157,107,68.20%,1220,11.4,7,62,58,51,7.8,6.7,76.3,0,SmitSt02
3,Andre Johnson*+,HOU,28,WR,2009,16,16,171,101,59.10%,1569,15.5,9,70,49.1,72,9.2,6.3,98.1,1,JohnAn02
4,Brandon Marshall*,DEN,25,WR,2009,15,13,154,101,65.60%,1120,11.1,10,55,45.5,75,7.3,6.7,74.7,0,MarsBr00
5,Dallas Clark*+,IND,30,TE,2009,16,16,133,100,75.20%,1106,11.1,10,61,60.9,80,8.3,6.3,69.1,1,ClarDa00
6,Reggie Wayne*,IND,31,WR,2009,16,16,149,100,67.10%,1264,12.6,10,73,59.1,65,8.5,6.3,79,0,WaynRe00
7,Larry Fitzgerald*,ARI,26,WR,2009,16,16,153,97,63.40%,1092,11.3,13,68,53.6,34,7.1,6.1,68.3,0,FitzLa00
8,Hines Ward,PIT,33,WR,2009,16,16,137,95,69.30%,1167,12.3,6,56,57.7,54,8.5,5.9,72.9,2,WardHi00
9,Jason Witten*,DAL,27,TE,2009,16,16,124,94,75.80%,1030,11,2,49,58.9,69,8.3,5.9,64.4,0,WittJa00
10,Roddy White*,ATL,28,WR,2009,16,16,165,85,51.50%,1153,13.6,11,54,43,90,7,5.3,72.1,1,WhitRo00
11,Anquan Boldin,ARI,29,WR,2009,15,15,127,84,66.10%,1024,12.2,4,49,55.9,44,8.1,5.6,68.3,3,BoldAn00
12,Tony Gonzalez,ATL,33,TE,2009,16,16,134,83,61.90%,867,10.4,6,55,54.5,27,6.5,5.2,54.2,0,GonzTo00
13,Randy Moss,NWE,32,WR,2009,16,16,137,83,60.60%,1264,15.2,13,62,57.7,71,9.2,5.2,79,2,MossRa00
14,Sidney Rice*,MIN,23,WR,2009,16,14,121,83,68.60%,1312,15.8,8,60,63.6,63,10.8,5.2,82,1,RiceSi01
15,Miles Austin*,DAL,25,WR,2009,16,9,124,81,65.30%,1320,16.3,11,58,55.6,60,10.6,5.1,82.5,1,AustMi00
