Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Torry Holt*+,STL,27,WR,2003,16,15,183,117,63.90%,1696,14.5,12,84,59.6,48,9.3,7.3,106,1,HoltTo00
2,Randy Moss*+,MIN,26,WR,2003,16,16,172,111,64.50%,1632,14.7,17,77,54.7,72,9.5,6.9,102,1,MossRa00
3,Anquan Boldin*,ARI,23,WR,2003,16,16,165,101,61.20%,1377,13.6,8,62,49.1,71,8.3,6.3,86.1,3,BoldAn00
4,LaDainian Tomlinson,SDG,24,RB,2003,16,16,137,100,73.00%,725,7.3,4,26,32.1,73,5.3,6.3,45.3,2,TomlLa00
5,Derrick Mason*,TEN,29,WR,2003,16,16,133,95,71.40%,1303,13.7,8,69,59.4,50,9.8,5.9,81.4,0,MasoDe00
6,Hines Ward*,PIT,27,WR,2003,16,16,156,95,60.90%,1163,12.2,10,60,53.8,50,7.5,5.9,72.7,0,WardHi00
7,Marvin Harrison*,IND,31,WR,2003,15,15,142,94,66.20%,1272,13.5,10,60,54.9,79,9,6.3,84.8,2,HarrMa00
8,Chad Johnson*,CIN,25,WR,2003,16,14,154,90,58.40%,1355,15.1,10,67,55.8,82,8.8,5.6,84.7,0,JohnCh01
9,Steve Smith Sr.,CAR,24,WR,2003,16,11,142,88,62.00%,1110,12.6,7,47,47.9,67,7.8,5.5,69.4,5,SmitSt01
10,Keenan McCardell*,TAM,33,WR,2003,16,16,139,84,60.40%,1174,14,8,53,53.2,76,8.4,5.3,73.4,1,McCaKe00
11,Laveranues Coles*,WAS,26,WR,2003,16,16,159,82,51.60%,1204,14.7,6,53,45.9,64,7.6,5.1,75.3,0,ColeLa00
12,Terrell Owens*,SFO,30,WR,2003,15,15,146,80,54.80%,1102,13.8,9,55,45.2,75,7.5,5.3,73.5,0,OwenTe00
13,Peter Warrick,CIN,26,WR,2003,15,14,122,79,64.80%,819,10.4,7,49,51.6,77,6.7,5.3,54.6,2,WarrPe00
14,Joe Horn,NOR,31,WR,2003,15,14,130,78,60.00%,973,12.5,10,52,52.3,50,7.5,5.2,64.9,2,HornJo00
15,Michael Pittman,TAM,28,RB,2003,16,13,121,75,62.00%,597,8,2,23,36.4,68,4.9,4.7,37.3,4,PittMi00
16,Priest Holmes*+,KAN,30,RB,2003,16,16,90,74,82.20%,690,9.3,0,35,56.7,36,7.7,4.6,43.1,1,HolmPr00
17,Santana Moss,NYJ,24,WR,2003,16,12,117,74,63.20%,1105,14.9,10,49,48.7,65,9.4,4.6,69.1,4,MossSa00
18,Rod Smith,DEN,33,WR,2003,15,15,114,74,64.90%,845,11.4,3,48,51.8,38,7.4,4.9,56.3,0,SmitRo01
19,Tony Gonzalez*+,KAN,27,TE,2003,16,16,106,71,67.00%,916,12.9,10,48,54.7,67,8.6,4.4,57.3,0,GonzTo00
20,David Boston,SDG,25,WR,2003,14,14,115,70,60.90%,880,12.6,7,42,50.4,46,7.7,5,62.9,2,BostDa00
21,Richie Anderson,DAL,32,FB,2003,15,8,87,69,79.30%,493,7.1,4,21,43.7,37,5.7,4.6,32.9,1,AndeRi00
22,Tiki Barber,NYG,28,RB,2003,16,16,98,69,70.40%,461,6.7,1,26,43.9,36,4.7,4.3,28.8,9,BarbTi00
