Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Larry Fitzgerald*,ARI,22,WR,2005,16,16,165,103,62.40%,1409,13.7,10,68,52.1,47,8.5,6.4,88.1,0,FitzLa00
2,Steve Smith Sr.*+,CAR,26,WR,2005,16,16,150,103,68.70%,1563,15.2,12,72,58,80,10.4,6.4,97.7,2,SmitSt01
3,Anquan Boldin,ARI,25,WR,2005,14,14,171,102,59.60%,1402,13.7,7,69,52.6,54,8.2,7.3,100.1,2,BoldAn00
4,Torry Holt*,STL,29,WR,2005,14,14,163,102,62.60%,1331,13,9,63,52.1,44,8.2,7.3,95.1,2,HoltTo00
5,Chad Johnson*+,CIN,27,WR,2005,16,16,155,97,62.60%,1432,14.8,9,74,60,70,9.2,6.1,89.5,1,JohnCh01
6,Antonio Gates*+,SDG,25,TE,2005,15,15,140,89,63.60%,1101,12.4,10,62,53.6,38,7.9,5.9,73.4,0,GateAn00
7,Donald Driver,GNB,30,WR,2005,16,16,146,86,58.90%,1221,14.2,5,63,53.4,59,8.4,5.4,76.3,0,DrivDo00
8,Derrick Mason,BAL,31,WR,2005,16,16,137,86,62.80%,1073,12.5,3,53,47.4,39,7.8,5.4,67.1,1,MasoDe00
9,Rod Smith*,DEN,35,WR,2005,16,16,126,85,67.50%,1105,13,6,55,60.3,72,8.8,5.3,69.1,2,SmitRo01
10,Santana Moss*,WAS,26,WR,2005,16,16,134,84,62.70%,1483,17.7,9,61,51.5,78,11.1,5.3,92.7,3,MossSa00
11,Joey Galloway,TAM,34,WR,2005,16,16,152,83,54.60%,1287,15.5,10,56,47.4,80,8.5,5.2,80.4,0,GallJo00
12,Reggie Wayne,IND,27,WR,2005,16,16,122,83,68.00%,1055,12.7,5,55,61.5,66,8.6,5.2,65.9,1,WaynRe00
13,Chris Chambers*,MIA,27,WR,2005,16,16,166,82,49.40%,1118,13.6,11,59,45.2,77,6.7,5.1,69.9,5,ChamCh00
14,Marvin Harrison*,IND,33,WR,2005,15,15,134,82,61.20%,1146,14,12,58,56,80,8.6,5.5,76.4,0,HarrMa00
15,Eric Moulds,BUF,32,WR,2005,15,15,129,81,62.80%,816,10.1,4,39,49.6,55,6.3,5.4,54.4,0,MoulEr00
16,Deion Branch,NWE,26,WR,2005,16,15,125,78,62.40%,998,12.8,5,53,56,51,8,4.9,62.4,0,BranDe00
17,Tony Gonzalez*,KAN,29,TE,2005,16,16,116,78,67.20%,905,11.6,2,45,51.7,39,7.8,4.9,56.6,0,GonzTo00
18,T.J. Houshmandzadeh,CIN,28,WR,2005,14,12,115,78,67.80%,956,12.3,7,52,60,43,8.3,5.6,68.3,1,HousTJ00
19,Plaxico Burress,NYG,28,WR,2005,16,15,166,76,45.80%,1214,16,7,48,41.6,78,7.3,4.8,75.9,1,BurrPl00
20,Jerry Porter,OAK,27,WR,2005,16,14,142,76,53.50%,942,12.4,5,44,47.2,49,6.6,4.8,58.9,1,PortJe00
21,Todd Heap,BAL,25,TE,2005,16,16,114,75,65.80%,855,11.4,7,45,49.1,48,7.5,4.7,53.4,2,HeapTo00
22,Laveranues Coles,NYJ,28,WR,2005,16,16,132,73,55.30%,845,11.6,5,53,47.7,43,6.4,4.6,52.8,1,ColeLa00
23,Chris Cooley,WAS,23,TE,2005,16,16,103,71,68.90%,774,10.9,7,44,58.3,32,7.5,4.4,48.4,3,CoolCh00
