ID,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
461,Joey Kent,TEN,24,WR,1998,10,0,8,4,50.00%,62,15.5,0,2,37.5,23,7.8,0.4,6.2,0,KentJo00
462,Marcus Nash,DEN,22,WR,1998,8,0,5,4,80.00%,76,19,0,2,40,31,15.2,0.5,9.5,0,NashMa00
463,Marcus Robinson,CHI,23,WR,1998,3,0,6,4,66.70%,44,11,1,3,50,20,7.3,1.3,14.7,0,RobiMa00
464,Ryan Yarborough,BAL,27,WR,1998,6,1,7,4,57.10%,39,9.8,0,1,42.9,18,5.6,0.7,6.5,0,YarbRy00
465,Corey Bradford,GNB,23,WR,1998,8,0,7,3,42.90%,27,9,0,2,28.6,18,3.9,0.4,3.4,1,BradCo00
466,Donald Hayes,CAR,23,WR,1998,7,0,9,3,33.30%,62,20.7,0,3,33.3,35,6.9,0.4,8.9,0,HayeDo00
467,Kenny Shedd,OAK,27,WR,1998,15,0,6,3,50.00%,50,16.7,0,3,66.7,21,8.3,0.2,3.3,0,ShedKe00
468,Iheanyi Uwaezuoke,2TM,25,WR,1998,11,0,8,3,37.50%,67,22.3,0,0,0,35,8.4,0.3,6.1,0,UwaeIh00
469,Fred Brock,ARI,24,WR,1998,12,0,7,2,28.60%,12,6,0,1,14.3,7,1.7,0.2,1,0,BrocFr00
470,Mark Harris,SFO,28,WR,1998,10,0,2,2,100.00%,67,33.5,0,2,100,42,33.5,0.2,6.7,0,HarrMa01
471,Desmond Howard,OAK,28,WR,1998,15,1,2,2,100.00%,16,8,0,1,50,10,8,0.1,1.1,4,HowaDe00
472,Dietrich Jells,PHI,26,WR,1998,9,0,9,2,22.20%,53,26.5,0,1,22.2,37,5.9,0.2,5.9,0,JellDi00
473,Charles Jordan,MIA,29,WR,1998,3,0,5,2,40.00%,17,8.5,0,0,0,9,3.4,0.7,5.7,2,JordCh00
474,Roell Preston,GNB,26,WR,1998,16,0,2,2,100.00%,23,11.5,0,2,100,13,11.5,0.1,1.4,7,PresRo00
475,Robb Thomas,TAM,32,WR,1998,7,0,5,2,40.00%,63,31.5,1,1,20,50,12.6,0.3,9,0,ThomRo01
476,Chris Walsh,MIN,30,WR,1998,15,0,4,2,50.00%,46,23,0,2,50,25,11.5,0.1,3.1,0,WalsCh00
477,Alvis Whitted,JAX,24,WR,1998,16,0,6,2,33.30%,61,30.5,0,1,33.3,55,10.2,0.1,3.8,0,WhitAl00
478,Brian Alford,NYG,23,WR,1998,2,0,6,1,16.70%,11,11,0,0,0,11,1.8,0.5,5.5,0,AlfoBr00
479,Ronnie Anderson,ARI,24,WR,1998,4,0,3,1,33.30%,8,8,0,0,0,8,2.7,0.3,2,0,AndeRo00
480,Justin Armour,DEN,25,WR,1998,8,0,5,1,20.00%,23,23,0,1,20,23,4.6,0.1,2.9,0,ArmoJu00
