ID,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1550,Torry Holt,STL,29,WR,2005,14,14,163,102,62.60%,1331,13,9,63,52.1,44,8.2,7.3,95.1,2,HoltTo00
1551,Chad Johnson,CIN,27,WR,2005,16,16,155,97,62.60%,1432,14.8,9,74,60,70,9.2,6.1,89.5,1,JohnCh01
1552,Donald Driver,GNB,30,WR,2005,16,16,146,86,58.90%,1221,14.2,5,63,53.4,59,8.4,5.4,76.3,0,DrivDo00
1553,Derrick Mason,BAL,31,WR,2005,16,16,137,86,62.80%,1073,12.5,3,53,47.4,39,7.8,5.4,67.1,1,MasoDe00
1554,Rod Smith,DEN,35,WR,2005,16,16,126,85,67.50%,1105,13,6,55,60.3,72,8.8,5.3,69.1,2,SmitRo01
1555,Santana Moss,WAS,26,WR,2005,16,16,134,84,62.70%,1483,17.7,9,61,51.5,78,11.1,5.3,92.7,3,MossSa00
1556,Joey Galloway,TAM,34,WR,2005,16,16,152,83,54.60%,1287,15.5,10,56,47.4,80,8.5,5.2,80.4,0,GallJo00
1557,Reggie Wayne,IND,27,WR,2005,16,16,122,83,68.00%,1055,12.7,5,55,61.5,66,8.6,5.2,65.9,1,WaynRe00
1558,Chris Chambers,MIA,27,WR,2005,16,16,166,82,49.40%,1118,13.6,11,59,45.2,77,6.7,5.1,69.9,5,ChamCh00
1559,Marvin Harrison,IND,33,WR,2005,15,15,134,82,61.20%,1146,14,12,58,56,80,8.6,5.5,76.4,0,HarrMa00
1560,Eric Moulds,BUF,32,WR,2005,15,15,129,81,62.80%,816,10.1,4,39,49.6,55,6.3,5.4,54.4,0,MoulEr00
1561,Deion Branch,NWE,26,WR,2005,16,15,125,78,62.40%,998,12.8,5,53,56,51,8,4.9,62.4,0,BranDe00
1562,T.J. Houshmandzadeh,CIN,28,WR,2005,14,12,115,78,67.80%,956,12.3,7,52,60,43,8.3,5.6,68.3,1,HousTJ00
1563,Plaxico Burress,NYG,28,WR,2005,16,15,166,76,45.80%,1214,16,7,48,41.6,78,7.3,4.8,75.9,1,BurrPl00
1564,Jerry Porter,OAK,27,WR,2005,16,14,142,76,53.50%,942,12.4,5,44,47.2,49,6.6,4.8,58.9,1,PortJe00
1565,Laveranues Coles,NYJ,28,WR,2005,16,16,132,73,55.30%,845,11.6,5,53,47.7,43,6.4,4.6,52.8,1,ColeLa00
1566,Keyshawn Johnson,DAL,33,WR,2005,16,14,123,71,57.70%,839,11.8,6,47,50.4,34,6.8,4.4,52.4,3,JohnKe00
1567,Keenan McCardell,SDG,35,WR,2005,16,16,108,70,64.80%,917,13.1,9,50,58.3,54,8.5,4.4,57.3,0,McCaKe00
1568,Jimmy Smith,JAX,36,WR,2005,16,16,128,70,54.70%,1023,14.6,6,55,49.2,45,8,4.4,63.9,0,SmitJi00
1569,Donte' Stallworth,NOR,25,WR,2005,16,13,129,70,54.30%,945,13.5,7,51,47.3,43,7.3,4.4,59.1,1,StalDo00
1570,Antonio Bryant,CLE,24,WR,2005,16,15,123,69,56.10%,1009,14.6,4,44,49.6,54,8.2,4.3,63.1,1,BryaAn00
1571,Hines Ward,PIT,29,WR,2005,15,15,114,69,60.50%,975,14.1,11,52,57.9,85,8.6,4.6,65,1,WardHi00
1572,Eddie Kennison,KAN,32,WR,2005,16,16,108,68,63.00%,1102,16.2,5,47,58.3,55,10.2,4.3,68.9,1,KennEd00
1573,Bobby Engram,SEA,32,WR,2005,13,13,97,67,69.10%,778,11.6,3,43,61.9,56,8,5.2,59.8,2,EngrBo00
1574,Muhsin Muhammad,CHI,32,WR,2005,15,15,136,64,47.10%,750,11.7,4,38,43.4,33,5.5,4.3,50,0,MuhaMu00
1575,Andre Johnson,HOU,24,WR,2005,13,13,114,63,55.30%,688,10.9,2,42,49.1,53,6,4.8,52.9,1,JohnAn02
1576,Terry Glenn,DAL,31,WR,2005,16,16,119,62,52.10%,1136,18.3,7,48,47.9,71,9.5,3.9,71,0,GlenTe00
1577,Kevin Curtis,STL,27,WR,2005,16,9,97,60,61.90%,801,13.4,6,35,52.6,83,8.3,3.8,50.1,2,CurtKe00
1578,Randy Moss,OAK,28,WR,2005,16,15,123,60,48.80%,1005,16.8,8,46,43.1,79,8.2,3.8,62.8,0,MossRa00
1579,Amani Toomer,NYG,31,WR,2005,16,15,109,60,55.00%,684,11.4,7,38,48.6,37,6.3,3.8,42.8,0,ToomAm00
1580,David Givens,NWE,25,WR,2005,13,10,96,59,61.50%,738,12.5,2,33,52.1,40,7.7,4.5,56.8,0,GiveDa00
1581,Drew Bennett,TEN,27,WR,2005,13,10,109,58,53.20%,738,12.7,4,36,45,55,6.8,4.5,56.8,0,BennDr00
1582,Eric Parker,SDG,26,WR,2005,15,9,80,57,71.30%,725,12.7,3,36,62.5,49,9.1,3.8,48.3,2,ParkEr00
1583,Jabar Gaffney,HOU,25,WR,2005,16,13,90,55,61.10%,492,8.9,2,31,50,29,5.5,3.4,30.8,0,GaffJa00
1584,Joe Jurevicius,SEA,31,WR,2005,16,12,84,55,65.50%,694,12.6,10,39,61.9,52,8.3,3.4,43.4,1,JureJo00
1585,Brian Finneran,ATL,29,WR,2005,16,7,81,50,61.70%,611,12.2,2,31,45.7,53,7.5,3.1,38.2,0,FinnBr00
1586,Travis Taylor,MIN,27,WR,2005,16,13,90,50,55.60%,604,12.1,4,35,46.7,31,6.7,3.1,37.8,1,TaylTr01
1587,Antonio Chatman,GNB,26,WR,2005,16,3,86,49,57.00%,549,11.2,4,31,51.2,25,6.4,3.1,34.3,0,ChatAn00
1588,Joe Horn,NOR,33,WR,2005,13,13,103,49,47.60%,654,13.3,1,37,43.7,30,6.3,3.8,50.3,2,HornJo00
1589,Lee Evans,BUF,24,WR,2005,16,15,92,48,52.20%,743,15.5,7,29,44.6,65,8.1,3,46.4,0,EvanLe00
1590,Greg Lewis,PHI,25,WR,2005,16,16,105,48,45.70%,561,11.7,1,30,41.9,34,5.3,3,35.1,0,LewiGr01
1591,Brandon Lloyd,SFO,24,WR,2005,16,15,109,48,44.00%,733,15.3,5,34,39.4,89,6.7,3,45.8,1,LloyBr00
1592,Terrell Owens,PHI,32,WR,2005,7,7,92,47,51.10%,763,16.2,6,32,45.7,91,8.3,6.7,109,0,OwenTe00
1593,Shaun McDonald,STL,24,WR,2005,16,2,74,46,62.20%,523,11.4,0,28,50,31,7.1,2.9,32.7,1,McDoSh00
1594,Roy Williams,DET,24,WR,2005,13,12,94,45,47.90%,687,15.3,8,31,44.7,51,7.3,3.5,52.8,0,WillRo04
1595,Mark Clayton,BAL,23,WR,2005,14,10,87,44,50.60%,471,10.7,2,22,39.1,47,5.4,3.1,33.6,0,ClayMa01
1596,Reggie Brown,PHI,24,WR,2005,16,11,79,43,54.40%,571,13.3,4,24,43,56,7.2,2.7,35.7,1,BrowRe01
1597,Justin McCareins,NYJ,27,WR,2005,16,16,102,43,42.20%,713,16.6,2,33,40.2,45,7,2.7,44.6,0,McCaJu00
1598,Ashley Lelie,DEN,25,WR,2005,16,13,88,42,47.70%,770,18.3,1,29,44.3,56,8.8,2.6,48.1,0,LeliAs00
1599,Dennis Northcutt,CLE,28,WR,2005,16,7,77,42,54.50%,441,10.5,2,19,45.5,58,5.7,2.6,27.6,0,NortDe00
1600,Brandon Stokley,IND,29,WR,2005,15,4,67,41,61.20%,543,13.2,1,29,52.2,45,8.1,2.7,36.2,0,StokBr00
1601,Ernest Wilford,JAX,26,WR,2005,16,8,74,41,55.40%,681,16.6,7,35,54.1,39,9.2,2.6,42.6,0,WilfEr00
1602,Bryant Johnson,ARI,24,WR,2005,14,4,72,40,55.60%,432,10.8,1,25,44.4,41,6,2.9,30.9,0,JohnBr02
1603,Scottie Vines,DET,26,WR,2005,13,11,71,40,56.30%,417,10.4,0,22,42.3,40,5.9,3.1,32.1,0,VineSc00
1604,Marty Booker,MIA,29,WR,2005,15,12,86,39,45.30%,686,17.6,3,30,43,60,8,2.6,45.7,0,BookMa00
1605,Troy Brown,NWE,34,WR,2005,13,3,59,39,66.10%,466,11.9,2,25,59.3,71,7.9,3,35.8,0,BrowTr00
1606,Darrell Jackson,SEA,27,WR,2005,6,6,55,38,69.10%,482,12.7,3,29,61.8,48,8.8,6.3,80.3,0,JackDa00
1607,Doug Gabriel,OAK,25,WR,2005,14,2,72,37,51.40%,554,15,3,31,47.2,38,7.7,2.6,39.6,0,GabrDo00
1608,Isaac Bruce,STL,33,WR,2005,11,10,71,36,50.70%,525,14.6,3,21,43.7,46,7.4,3.3,47.7,0,BrucIs00
1609,Michael Jenkins,ATL,23,WR,2005,14,12,71,36,50.70%,508,14.1,3,28,45.1,58,7.2,2.6,36.3,1,JenkMi00
1610,Matt Jones,JAX,22,WR,2005,16,1,69,36,52.20%,432,12,5,23,40.6,42,6.3,2.3,27,2,JoneMa00
1611,Samie Parker,KAN,24,WR,2005,12,9,58,36,62.10%,533,14.8,3,27,55.2,49,9.2,3,44.4,2,ParkSa00
1612,Ike Hilliard,TAM,29,WR,2005,16,2,53,35,66.00%,282,8.1,1,24,54.7,22,5.3,2.2,17.6,0,HillIk00
1613,Antwaan Randle El,PIT,26,WR,2005,16,15,69,35,50.70%,558,15.9,1,23,46.4,63,8.1,2.2,34.9,4,RandAn00
1614,Reggie Williams,JAX,22,WR,2005,16,7,63,35,55.60%,445,12.7,0,23,47.6,41,7.1,2.2,27.8,2,WillRe00
1615,Corey Bradford,HOU,30,WR,2005,16,6,66,34,51.50%,436,12.8,5,19,45.5,50,6.6,2.1,27.3,0,BradCo00
1616,Az-Zahir Hakim,NOR,28,WR,2005,12,2,58,34,58.60%,489,14.4,2,26,53.4,42,8.4,2.8,40.8,1,HakiAz00
1617,Dante Hall,KAN,27,WR,2005,16,2,51,34,66.70%,436,12.8,3,20,52.9,52,8.5,2.1,27.3,5,HallDa00
1618,Arnaz Battle,SFO,25,WR,2005,10,8,54,32,59.30%,363,11.3,3,20,46.3,39,6.7,3.2,36.3,1,BattAr00
1619,Michael Clayton,TAM,23,WR,2005,14,10,55,32,58.20%,372,11.6,0,18,41.8,41,6.8,2.3,26.6,1,ClayMi00
1620,Braylon Edwards,CLE,22,WR,2005,10,7,59,32,54.20%,512,16,3,22,47.5,80,8.7,3.2,51.2,0,EdwaBr00
1621,Josh Reed,BUF,25,WR,2005,16,6,53,32,60.40%,449,14,2,20,49.1,51,8.5,2,28.1,0,ReedJo01
1622,Justin Gage,CHI,24,WR,2005,15,11,55,31,56.40%,346,11.2,2,22,54.5,25,6.3,2.1,23.1,0,GageJu00
1623,Chris Henry,CIN,22,WR,2005,14,5,50,31,62.00%,422,13.6,6,19,50,47,8.4,2.2,30.1,2,HenrCh00
1624,Marcus Robinson,MIN,30,WR,2005,15,9,57,31,54.40%,515,16.6,5,24,43.9,68,9,2.1,34.3,0,RobiMa00
1625,Nate Burleson,MIN,24,WR,2005,12,9,52,30,57.70%,328,10.9,1,20,50,20,6.3,2.5,27.3,0,BurlNa00
1626,Wes Welker,MIA,24,WR,2005,16,1,52,29,55.80%,434,15,0,19,51.9,47,8.3,1.8,27.1,5,WelkWe00
1627,Roddy White,ATL,24,WR,2005,16,8,69,29,42.00%,446,15.4,3,23,39.1,54,6.5,1.8,27.9,1,WhitRo00
1628,Mike Williams,DET,21,WR,2005,14,4,57,29,50.90%,350,12.1,1,20,47.4,49,6.1,2.1,25,2,WillMi03
1629,Reche Caldwell,SDG,26,WR,2005,16,2,43,28,65.10%,352,12.6,1,16,58.1,43,8.2,1.8,22,2,CaldRe00
1630,D.J. Hackett,SEA,24,WR,2005,13,3,43,28,65.10%,400,14.3,2,17,60.5,47,9.3,2.2,30.8,0,HackD.00
1631,Robert Ferguson,GNB,26,WR,2005,11,7,57,27,47.40%,366,13.6,3,19,43.9,51,6.4,2.5,33.3,0,FergRo00
1632,Cedrick Wilson,PIT,27,WR,2005,16,1,53,26,49.10%,451,17.3,0,20,41.5,46,8.5,1.6,28.2,1,WilsCe00
1633,Keary Colbert,CAR,23,WR,2005,16,16,55,25,45.50%,282,11.3,2,15,41.8,42,5.1,1.6,17.6,1,ColbKe00
1634,Ricky Proehl,CAR,37,WR,2005,16,0,50,25,50.00%,441,17.6,4,19,44,69,8.8,1.6,27.6,0,ProeRi00
1635,Frisman Jackson,CLE,26,WR,2005,12,0,41,24,58.50%,287,12,1,16,56.1,68,7,2,23.9,0,JackFr01
1636,Troy Williamson,MIN,22,WR,2005,14,3,52,24,46.20%,372,15.5,2,18,40.4,56,7.2,1.7,26.6,0,WillTr01
1637,Brandon Jones,TEN,23,WR,2005,10,8,47,23,48.90%,299,13,2,18,44.7,38,6.4,2.3,29.9,0,JoneBr02
1638,Dane Looker,STL,29,WR,2005,16,0,27,23,85.20%,237,10.3,0,15,63,23,8.8,1.4,14.8,0,LookDa00
1639,Tyrone Calico,TEN,25,WR,2005,12,6,42,22,52.40%,191,8.7,0,11,38.1,18,4.5,1.8,15.9,1,CaliTy00
1640,Patrick Crayton,DAL,26,WR,2005,11,0,35,22,62.90%,341,15.5,2,15,54.3,63,9.7,2,31,3,CrayPa00
1641,Devery Henderson,NOR,23,WR,2005,15,3,50,22,44.00%,343,15.6,3,16,40,66,6.9,1.5,22.9,0,HendDe00
1642,David Patten,WAS,31,WR,2005,9,7,53,22,41.50%,217,9.9,0,10,30.2,32,4.1,2.4,24.1,0,PattDa00
1643,Koren Robinson,MIN,25,WR,2005,14,5,37,22,59.50%,347,15.8,1,10,45.9,80,9.4,1.6,24.8,2,RobiKo00
1644,Charlie Adams,DEN,26,WR,2005,16,2,36,21,58.30%,203,9.7,0,9,36.1,21,5.6,1.3,12.7,4,AdamCh00
1645,Johnnie Morton,SFO,34,WR,2005,13,10,44,21,47.70%,288,13.7,0,14,36.4,30,6.5,1.6,22.2,0,MortJo00
1646,Courtney Roby,TEN,22,WR,2005,13,6,43,21,48.80%,289,13.8,1,12,37.2,32,6.7,1.6,22.2,1,RobyCo00
1647,Roydell Williams,TEN,24,WR,2005,10,2,39,21,53.80%,299,14.2,2,15,43.6,50,7.7,2.1,29.9,0,WillRo05
1648,Jerricho Cotchery,NYJ,23,WR,2005,16,1,32,19,59.40%,251,13.2,0,13,46.9,45,7.8,1.2,15.7,2,CotcJe00
1649,Tim Dwight,NWE,30,WR,2005,16,1,34,19,55.90%,332,17.5,3,14,50,59,9.8,1.2,20.8,1,DwigTi00
1650,Kevin Walter,CIN,24,WR,2005,16,2,29,19,65.50%,211,11.1,1,14,55.2,33,7.3,1.2,13.2,0,WaltKe00
1651,Mark Bradley,CHI,23,WR,2005,7,4,36,18,50.00%,230,12.8,0,9,41.7,54,6.4,2.6,32.9,1,BradMa00
1652,Chris Horn,KAN,28,WR,2005,14,3,31,18,58.10%,187,10.4,0,7,48.4,50,6,1.3,13.4,0,HornCh00
1653,LeRon McCoy,ARI,23,WR,2005,10,4,30,18,60.00%,191,10.6,1,11,46.7,24,6.4,1.8,19.1,0,McCoLe00
1654,Billy McMullen,PHI,25,WR,2005,16,0,38,18,47.40%,268,14.9,1,13,44.7,38,7.1,1.1,16.8,1,McMuBi00
1655,Kevin Johnson,DET,29,WR,2005,6,2,31,17,54.80%,133,7.8,0,7,38.7,25,4.3,2.8,22.2,0,JohnKe01
1656,Wayne Chrebet,NYJ,32,WR,2005,8,0,23,15,65.20%,153,10.2,0,7,47.8,20,6.7,1.9,19.1,0,ChreWa00
1657,Roscoe Parrish,BUF,23,WR,2005,10,1,25,15,60.00%,148,9.9,1,7,44,28,5.9,1.5,14.8,2,ParrRo00
1658,Charles Rogers,DET,24,WR,2005,9,3,31,14,45.20%,197,14.1,1,11,45.2,35,6.4,1.6,21.9,0,RogeCh01
1659,James Thrash,WAS,30,WR,2005,12,2,30,14,46.70%,194,13.9,0,11,33.3,41,6.5,1.2,16.2,1,ThraJa00
1660,Bobby Wade,2TM,24,WR,2005,14,1,29,14,48.30%,120,8.6,0,0,0,17,4.1,1,8.6,10,WadeBo00
1661,Troy Walters,IND,29,WR,2005,16,1,19,14,73.70%,152,10.9,3,7,52.6,39,8,0.9,9.5,0,WaltTr00
1662,Alvis Whitted,OAK,31,WR,2005,16,0,26,14,53.80%,183,13.1,0,9,46.2,26,7,0.9,11.4,0,WhitAl00
1663,Bernard Berrian,CHI,25,WR,2005,11,2,25,13,52.00%,246,18.9,0,8,44,54,9.8,1.2,22.4,1,BerrBe00
1664,Rod Gardner,2TM,28,WR,2005,13,1,26,13,50.00%,151,11.6,1,0,0,33,5.8,1,11.6,0,GardRo00
1665,Randal Williams,OAK,27,WR,2005,16,4,26,13,50.00%,164,12.6,0,7,42.3,34,6.3,0.8,10.3,0,WillRa01
1666,Randy Hymes,BAL,26,WR,2005,16,3,31,11,35.50%,132,12,2,9,32.3,21,4.3,0.7,8.3,0,HymeRa00
1667,Taylor Jacobs,WAS,24,WR,2005,15,3,25,11,44.00%,100,9.1,0,4,28,24,4,0.7,6.7,0,JacoTa00
1668,Charles Lee,ARI,28,WR,2005,6,0,18,11,61.10%,152,13.8,0,7,61.1,49,8.4,1.8,25.3,0,LeexCh00
1669,Peter Warrick,SEA,28,WR,2005,13,5,23,11,47.80%,180,16.4,0,6,34.8,42,7.8,0.8,13.8,0,WarrPe00
1670,Tim Carter,NYG,26,WR,2005,15,1,25,10,40.00%,186,18.6,0,8,32,44,7.4,0.7,12.4,0,CartTi00
1671,Kelley Washington,CIN,26,WR,2005,7,0,19,10,52.60%,101,10.1,1,7,52.6,18,5.3,1.4,14.4,0,WashKe00
1672,Derick Armstrong,HOU,26,WR,2005,13,3,12,9,75.00%,115,12.8,0,8,75,28,9.6,0.7,8.8,0,ArmsDe00
1673,Andre' Davis,NWE,26,WR,2005,9,4,24,9,37.50%,190,21.1,1,8,37.5,60,7.9,1,21.1,0,DaviAn01
1674,Todd Devoe,DEN,25,WR,2005,14,0,14,9,64.30%,87,9.7,1,1,28.6,44,6.2,0.6,6.2,0,DevoTo00
1675,Quincy Morgan,PIT,28,WR,2005,16,0,18,9,50.00%,150,16.7,2,7,50,31,8.3,0.6,9.4,1,MorgQu00
1676,Marc Boerigter,KAN,27,WR,2005,10,0,16,8,50.00%,119,14.9,0,5,50,38,7.4,0.8,11.9,0,BoerMa00
1677,Jason McAddley,SFO,26,WR,2005,12,2,15,7,46.70%,125,17.9,0,4,33.3,38,8.3,0.6,10.4,0,McAdJa00
1678,Aaron Moorehead,IND,25,WR,2005,2,0,11,7,63.60%,75,10.7,0,3,45.5,24,6.8,3.5,37.5,0,MoorAa00
1679,Andrae Thurman,2TM,25,WR,2005,15,1,14,7,50.00%,92,13.1,0,0,0,33,6.6,0.5,6.1,1,ThurAn00
1680,Jerheme Urban,SEA,25,WR,2005,4,1,10,7,70.00%,151,21.6,0,7,70,46,15.1,1.8,37.8,0,UrbaJe00
1681,Peerless Price,DAL,29,WR,2005,7,1,9,6,66.70%,96,16,0,4,55.6,58,10.7,0.9,13.7,0,PricPe00
1682,Edell Shepherd,TAM,25,WR,2005,16,0,9,6,66.70%,103,17.2,1,4,44.4,46,11.4,0.4,6.4,1,ShepEd00
1683,Drew Carter,CAR,24,WR,2005,3,0,15,5,33.30%,103,20.6,1,4,33.3,40,6.9,1.7,34.3,0,CartDr00
1684,Bryan Gilmore,MIA,27,WR,2005,15,1,20,5,25.00%,105,21,1,3,25,44,5.3,0.3,7,0,GilmBr00
1685,Jerome Mathis,HOU,22,WR,2005,12,0,13,5,38.50%,65,13,1,2,30.8,34,5,0.4,5.4,3,MathJe00
1686,Darnerien McCants,PHI,29,WR,2005,12,0,9,5,55.60%,87,17.4,0,3,44.4,22,9.7,0.4,7.3,0,McCaDa00
1687,Terrence Murphy,GNB,23,WR,2005,3,0,11,5,45.50%,36,7.2,0,4,45.5,12,3.3,1.7,12,0,MurpTe00
1688,Jonathan Smith,BUF,24,WR,2005,7,1,7,5,71.40%,56,11.2,1,3,57.1,19,8,0.7,8,1,SmitJo00
1689,David Tyree,NYG,25,WR,2005,13,0,9,5,55.60%,52,10.4,1,2,55.6,18,5.8,0.4,4,1,TyreDa00
1690,Sam Aiken,BUF,25,WR,2005,16,2,13,4,30.80%,57,14.3,0,3,30.8,22,4.4,0.3,3.6,0,AikeSa00
1691,David Boston,MIA,27,WR,2005,5,0,10,4,40.00%,80,20,0,2,40,54,8,0.8,16,0,BostDa00
1692,Bethel Johnson,NWE,26,WR,2005,11,1,6,4,66.70%,67,16.8,1,1,33.3,55,11.2,0.4,6.1,1,JohnBe00
1693,Donovan Morgan,HOU,23,WR,2005,3,0,9,4,44.40%,42,10.5,0,1,44.4,14,4.7,1.3,14,0,MorgDo00
1694,Reggie Newhouse,ARI,24,WR,2005,3,1,10,4,40.00%,45,11.3,0,1,30,17,4.5,1.3,15,0,NewhRe00
1695,Tab Perry,CIN,23,WR,2005,16,0,5,4,80.00%,21,5.3,1,2,40,13,4.2,0.3,1.3,1,PerrTa00
1696,Javon Walker,GNB,27,WR,2005,1,1,5,4,80.00%,27,6.8,0,2,80,9,5.4,4,27,0,WalkJa00
1697,Bam Childress,NWE,23,WR,2005,1,0,4,3,75.00%,32,10.7,0,1,50,21,8,3,32,0,ChilBr00
1698,Cortez Hankton,JAX,24,WR,2005,6,0,6,3,50.00%,15,5,0,0,0,8,2.5,0.5,2.5,0,HankCo00
1699,Vincent Jackson,SDG,22,WR,2005,8,0,8,3,37.50%,59,19.7,0,3,37.5,21,7.4,0.4,7.4,0,JackVi00
1700,Clarence Moore,BAL,23,WR,2005,4,1,19,3,15.80%,59,19.7,0,3,15.8,24,3.1,0.8,14.8,0,MoorCl00
1701,Nate Poole,NOR,28,WR,2005,7,0,4,3,75.00%,63,21,0,1,75,42,15.8,0.4,9,0,PoolNa01
1702,Eddie Berlin,CHI,27,WR,2005,5,0,4,2,50.00%,9,4.5,0,0,0,9,2.3,0.4,1.8,0,BerlEd00
1703,Ronald Curry,OAK,26,WR,2005,2,0,2,2,100.00%,12,6,0,1,50,8,6,1,6,0,CurrRo01
1704,Troy Edwards,DET,28,WR,2005,3,0,2,2,100.00%,15,7.5,0,1,50,8,7.5,0.7,5,0,EdwaTr00
1705,Patrick Johnson,BAL,29,WR,2005,6,0,5,2,40.00%,31,15.5,0,2,40,19,6.2,0.3,5.2,0,JohnPa00
1706,Kassim Osgood,SDG,25,WR,2005,12,3,5,2,40.00%,21,10.5,0,2,40,15,4.2,0.2,1.8,0,OsgoKa00
1707,Dante Ridgeway,NYJ,21,WR,2005,8,0,3,2,66.70%,26,13,0,0,0,17,8.7,0.3,3.3,0,RidgDa00
1708,Darius Watts,DEN,24,WR,2005,6,0,4,2,50.00%,22,11,0,2,50,12,5.5,0.3,3.7,0,WattDa00
1709,Dez White,ATL,26,WR,2005,6,3,10,2,20.00%,25,12.5,1,2,20,14,2.5,0.3,4.2,0,WhitDe00
1710,Terrance Copper,DAL,23,WR,2005,16,0,4,1,25.00%,5,5,0,1,25,5,1.3,0.1,0.3,0,CoppTe00
1711,Josh Cribbs,CLE,22,WR,2005,14,0,1,1,100.00%,7,7,0,0,0,7,7,0.1,0.5,4,CribJo01
1712,Jimmy Farris,WAS,27,WR,2005,4,0,2,1,50.00%,18,18,0,1,50,18,9,0.3,4.5,0,FarrJi00
1713,Rasheed Marshall,SFO,24,WR,2005,12,0,6,1,16.70%,-1,-1,0,0,0,-1,-0.2,0.1,-0.1,4,MarsRa00
1714,Glenn Martinez,DET,24,WR,2005,5,0,7,1,14.30%,11,11,0,0,0,11,1.6,0.2,2.2,0,MartGl00
1715,Jerome Pathon,ATL,30,WR,2005,9,0,3,1,33.30%,18,18,0,1,33.3,18,6,0.1,2,0,PathJe00
1716,O.J. Small,TEN,23,WR,2005,2,0,1,1,100.00%,6,6,0,0,0,6,6,0.5,3,0,SmalO.00
1717,Dominique Thompson,STL,23,WR,2005,2,0,2,1,50.00%,13,13,0,0,0,13,6.5,0.5,6.5,0,ThomDo01
1718,Otis Amey,SFO,24,WR,2005,11,0,4,0,0.00%,0,,0,0,0,0,0,0,0,1,AmeyFr00
1719,Alex Bannister,SEA,26,WR,2005,2,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,BannAl00
1720,Antonio Brown,WAS,27,WR,2005,7,0,1,0,0.00%,0,,0,0,0,0,0,0,0,2,BrowAn01
1721,Karl Hankton,CAR,35,WR,2005,16,0,1,0,0.00%,0,,0,0,0,0,0,0,0,0,HankKa00
1722,Nate Jackson,DEN,26,WR,2005,2,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,JackNa00
1723,Jamal Jones,GNB,24,WR,2005,2,0,1,0,0.00%,0,,0,0,0,0,0,0,0,1,JoneJa02
1724,Chad Owens,JAX,23,WR,2005,1,0,1,0,0.00%,0,,0,0,0,0,0,0,0,2,OwenCh00
1725,Jamaar Taylor,NYG,24,WR,2005,5,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,TaylJa00
1726,David Terrell,DEN,26,WR,2005,1,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,TerrDa00
1727,Nate Washington,PIT,22,WR,2005,1,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,WashNa00
1728,Andre Johnson,HOU,25,WR,2006,16,16,163,103,63.20%,1147,11.1,5,56,50.3,53,7,6.4,71.7,1,JohnAn02
1729,Mike Furrey,DET,29,WR,2006,16,14,146,98,67.10%,1086,11.1,6,55,56.2,31,7.4,6.1,67.9,1,FurrMi00
1730,Marvin Harrison,IND,34,WR,2006,16,16,148,95,64.20%,1366,14.4,12,78,60.1,68,9.2,5.9,85.4,1,HarrMa00
1731,Torry Holt,STL,30,WR,2006,16,16,179,93,52.00%,1188,12.8,10,66,47.5,67,6.6,5.8,74.3,2,HoltTo00
1732,Donald Driver,GNB,31,WR,2006,16,16,173,92,53.20%,1295,14.1,8,54,48,82,7.5,5.8,80.9,1,DrivDo00
1733,Laveranues Coles,NYJ,29,WR,2006,16,16,152,91,59.90%,1098,12.1,6,53,49.3,58,7.2,5.7,68.6,1,ColeLa00
1734,T.J. Houshmandzadeh,CIN,29,WR,2006,14,13,132,90,68.20%,1081,12,9,58,56.1,40,8.2,6.4,77.2,0,HousTJ00
1735,Chad Johnson,CIN,28,WR,2006,16,16,152,87,57.20%,1369,15.7,7,67,55.3,74,9,5.4,85.6,1,JohnCh01
1736,Reggie Wayne,IND,28,WR,2006,16,16,137,86,62.80%,1310,15.2,9,72,60.6,51,9.6,5.4,81.9,1,WaynRe00
1737,Terrell Owens,DAL,33,WR,2006,16,15,150,85,56.70%,1180,13.9,13,63,50.7,56,7.9,5.3,73.8,0,OwenTe00
1738,Anquan Boldin,ARI,26,WR,2006,16,16,152,83,54.60%,1203,14.5,4,55,46.7,64,7.9,5.2,75.2,1,BoldAn00
1739,Steve Smith Sr.,CAR,27,WR,2006,14,14,139,83,59.70%,1166,14,8,52,51.1,72,8.4,5.9,83.3,2,SmitSt01
1740,Jerricho Cotchery,NYJ,24,WR,2006,16,16,125,82,65.60%,961,11.7,6,53,57.6,71,7.7,5.1,60.1,0,CotcJe00
1741,Lee Evans,BUF,25,WR,2006,16,15,137,82,59.90%,1292,15.8,8,54,55.5,83,9.4,5.1,80.8,1,EvanLe00
1742,Roy Williams,DET,25,WR,2006,16,16,151,82,54.30%,1310,16,7,66,51.7,60,8.7,5.1,81.9,2,WillRo04
1743,Isaac Bruce,STL,34,WR,2006,16,13,126,74,58.70%,1098,14.8,3,54,54,45,8.7,4.6,68.6,0,BrucIs00
1744,Hines Ward,PIT,30,WR,2006,14,14,126,74,58.70%,975,13.2,6,51,52.4,70,7.7,5.3,69.6,2,WardHi00
