Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Marvin Harrison*+,IND,30,WR,2002,16,16,205,143,69.80%,1722,12,11,92,58,69,8.4,8.9,107.6,0,HarrMa00
2,Hines Ward*,PIT,26,WR,2002,16,16,160,112,70.00%,1329,11.9,12,65,58.1,72,8.3,7,83.1,1,WardHi00
3,Randy Moss*,MIN,25,WR,2002,16,16,185,106,57.30%,1347,12.7,7,67,48.6,60,7.3,6.6,84.2,1,MossRa00
4,Eric Moulds*,BUF,29,WR,2002,16,15,180,100,55.60%,1292,12.9,10,66,46.1,70,7.2,6.3,80.8,1,MoulEr00
5,Terrell Owens*+,SFO,29,WR,2002,14,14,159,100,62.90%,1300,13,13,63,52.8,76,8.2,7.1,92.9,0,OwenTe00
6,Marty Booker*,CHI,26,WR,2002,16,16,168,97,57.70%,1189,12.3,6,52,46.4,54,7.1,6.1,74.3,0,BookMa00
7,Troy Brown,NWE,31,WR,2002,14,13,141,97,68.80%,890,9.2,3,48,56,38,6.3,6.9,63.6,4,BrowTr00
8,Peerless Price,BUF,26,WR,2002,16,16,148,94,63.50%,1252,13.3,9,58,56.1,73,8.5,5.9,78.3,2,PricPe00
9,Jerry Rice*,OAK,40,WR,2002,16,16,150,92,61.30%,1211,13.2,7,59,60,75,8.1,5.8,75.7,1,RiceJe00
10,Charlie Garner,OAK,30,RB,2002,16,15,111,91,82.00%,941,10.3,4,47,64,69,8.5,5.7,58.8,0,GarnCh00
11,Torry Holt,STL,26,WR,2002,16,11,160,91,56.90%,1302,14.3,4,71,53.8,58,8.1,5.7,81.4,1,HoltTo00
12,Laveranues Coles,NYJ,25,WR,2002,16,16,134,89,66.40%,1264,14.2,5,67,63.4,43,9.4,5.6,79,1,ColeLa00
13,Rod Smith,DEN,32,WR,2002,16,16,147,89,60.50%,1027,11.5,5,54,51,46,7,5.6,64.2,1,SmitRo01
14,Joe Horn*,NOR,30,WR,2002,16,16,149,88,59.10%,1312,14.9,7,65,53,63,8.8,5.5,82,1,HornJo00
15,Amani Toomer,NYG,28,WR,2002,16,16,134,82,61.20%,1343,16.4,8,59,58.2,82,10,5.1,83.9,0,ToomAm00
16,Tim Brown,OAK,36,WR,2002,16,16,127,81,63.80%,930,11.5,2,46,58.3,45,7.3,5.1,58.1,3,BrowTi00
17,Marshall Faulk*,STL,29,RB,2002,14,10,102,80,78.40%,537,6.7,2,23,44.1,40,5.3,5.7,38.4,4,FaulMa00
18,Jimmy Smith,JAX,33,WR,2002,16,16,137,80,58.40%,1027,12.8,7,53,48.2,47,7.5,5,64.2,0,SmitJi00
19,Isaac Bruce,STL,30,WR,2002,16,16,130,79,60.80%,1075,13.6,7,50,53.1,34,8.3,4.9,67.2,2,BrucIs00
20,Derrick Mason,TEN,28,WR,2002,14,14,125,79,63.20%,1012,12.8,5,56,55.2,40,8.1,5.6,72.3,2,MasoDe00
21,LaDainian Tomlinson*,SDG,23,RB,2002,16,16,101,79,78.20%,489,6.2,1,21,44.6,30,4.8,4.9,30.6,3,TomlLa00
22,Plaxico Burress,PIT,25,WR,2002,16,15,144,78,54.20%,1325,17,7,64,54.2,62,9.2,4.9,82.8,2,BurrPl00
23,Koren Robinson,SEA,22,WR,2002,16,16,141,78,55.30%,1240,15.9,5,58,48.9,83,8.8,4.9,77.5,2,RobiKo00
24,Keyshawn Johnson,TAM,30,WR,2002,16,16,142,76,53.50%,1088,14.3,5,53,50.7,76,7.7,4.8,68,0,JohnKe00
25,Jeremy Shockey*+,NYG,22,TE,2002,15,14,128,74,57.80%,894,12.1,2,49,49.2,30,7,4.9,59.6,3,ShocJe00
26,Tai Streets,SFO,25,WR,2002,16,14,109,72,66.10%,756,10.5,5,46,51.4,47,6.9,4.5,47.3,1,StreTa00
27,Rod Gardner,WAS,25,WR,2002,16,15,141,71,50.40%,1006,14.2,8,51,46.8,43,7.1,4.4,62.9,1,GardRo00
28,Donald Driver*,GNB,27,WR,2002,16,16,113,70,61.90%,1064,15.2,9,47,56.6,85,9.4,4.4,66.5,1,DrivDo00
29,Priest Holmes*+,KAN,29,RB,2002,14,14,81,70,86.40%,672,9.6,3,31,56.8,64,8.3,5,48,1,HolmPr00
30,Tiki Barber,NYG,27,RB,2002,16,15,95,69,72.60%,597,8.7,0,24,44.2,38,6.3,4.3,37.3,9,BarbTi00
31,Chad Johnson,CIN,24,WR,2002,16,14,137,69,50.40%,1166,16.9,5,58,48.2,72,8.5,4.3,72.9,0,JohnCh01
32,Ed McCaffrey,DEN,34,WR,2002,16,16,103,69,67.00%,903,13.1,2,44,57.3,69,8.8,4.3,56.4,1,McCaEd00
33,Todd Heap*,BAL,22,TE,2002,16,16,122,68,55.70%,836,12.3,6,45,46.7,43,6.9,4.3,52.3,0,HeapTo00
34,Kevin Johnson,CLE,26,WR,2002,16,15,120,67,55.80%,703,10.5,4,39,43.3,30,5.9,4.2,43.9,0,JohnKe01
35,Tony Gonzalez*,KAN,26,TE,2002,16,16,99,63,63.60%,773,12.3,7,39,53.5,42,7.8,3.9,48.3,0,GonzTo00
36,Muhsin Muhammad,CAR,29,WR,2002,14,14,108,63,58.30%,823,13.1,3,40,50,42,7.6,4.5,58.8,0,MuhaMu00
37,Jamel White,CLE,25,RB,2002,14,6,86,63,73.30%,452,7.2,0,15,32.6,33,5.3,4.5,32.3,0,WhitJa00
38,Darrell Jackson,SEA,24,WR,2002,13,13,112,62,55.40%,877,14.1,4,37,47.3,48,7.8,4.8,67.5,3,JackDa00
39,Joey Galloway,DAL,31,WR,2002,16,16,120,61,50.80%,908,14.9,6,33,43.3,80,7.6,3.8,56.8,2,GallJo00
40,Edgerrin James,IND,24,RB,2002,14,14,80,61,76.30%,354,5.8,1,17,36.3,23,4.4,4.4,25.3,4,JameEd00
41,Keenan McCardell,TAM,32,WR,2002,14,14,101,61,60.40%,670,11,6,31,51.5,65,6.6,4.4,47.9,1,McCaKe00
42,David Patten,NWE,28,WR,2002,16,14,120,61,50.80%,824,13.5,5,39,45,39,6.9,3.8,51.5,0,PattDa00
43,Shannon Sharpe,DEN,34,TE,2002,13,13,88,61,69.30%,686,11.2,3,32,58,82,7.8,4.7,52.8,0,SharSh00
44,Travis Taylor,BAL,24,WR,2002,16,15,118,61,51.70%,869,14.2,6,40,48.3,64,7.4,3.8,54.3,0,TaylTr01
45,Todd Pinkston,PHI,25,WR,2002,15,15,113,60,53.10%,798,13.3,7,40,44.2,42,7.1,4,53.2,2,PinkTo00
46,Shaun Alexander,SEA,25,RB,2002,16,16,78,59,75.60%,460,7.8,2,20,43.6,80,5.9,3.7,28.8,3,AlexSh00
47,Michael Pittman,TAM,27,RB,2002,16,15,86,59,68.60%,477,8.1,0,19,40.7,64,5.5,3.7,29.8,3,PittMi00
48,Curtis Conway,SDG,31,WR,2002,13,13,94,57,60.60%,852,14.9,5,42,53.2,52,9.1,4.4,65.5,2,ConwCu00
49,Ahman Green*,GNB,25,RB,2002,14,14,74,57,77.00%,393,6.9,2,19,48.6,23,5.3,4.1,28.1,4,GreeAh00
50,Brian Finneran,ATL,26,WR,2002,16,16,102,56,54.90%,838,15,6,41,48,47,8.2,3.5,52.4,2,FinnBr00
51,Terry Glenn,GNB,28,WR,2002,15,14,106,56,52.80%,817,14.6,2,43,46.2,49,7.7,3.7,54.5,1,GlenTe00
52,Quincy Morgan,CLE,25,WR,2002,16,16,97,56,57.70%,964,17.2,7,34,50.5,78,9.9,3.5,60.3,2,MorgQu00
53,Bubba Franks*,GNB,24,TE,2002,16,15,71,54,76.10%,442,8.2,7,28,70.4,20,6.2,3.4,27.6,0,FranBu00
54,Steve Smith Sr.,CAR,23,WR,2002,15,13,98,54,55.10%,872,16.1,3,33,45.9,69,8.9,3.6,58.1,5,SmitSt01
55,Eddie Kennison,KAN,29,WR,2002,16,14,92,53,57.60%,906,17.1,2,44,55.4,64,9.8,3.3,56.6,0,KennEd00
56,Derrius Thompson,WAS,25,WR,2002,16,14,93,53,57.00%,773,14.6,4,35,50.5,47,8.3,3.3,48.3,2,ThomDe00
57,Peter Warrick,CIN,25,WR,2002,15,10,81,53,65.40%,606,11.4,6,27,54.3,37,7.5,3.5,40.4,2,WarrPe00
58,Chris Chambers,MIA,24,WR,2002,15,15,100,52,52.00%,734,14.1,3,38,47,59,7.3,3.5,48.9,1,ChamCh00
59,James Thrash,PHI,27,WR,2002,16,16,107,52,48.60%,635,12.2,6,26,41.1,39,5.9,3.3,39.7,1,ThraJa00
60,Wayne Chrebet,NYJ,29,WR,2002,15,15,80,51,63.80%,691,13.5,9,38,56.3,37,8.6,3.4,46.1,2,ChreWa00
61,Billy Miller,HOU,25,TE,2002,16,7,80,51,63.80%,613,12,3,33,57.5,42,7.7,3.2,38.3,0,MillBi00
62,Jerry Porter,OAK,24,WR,2002,16,14,70,51,72.90%,688,13.5,9,36,67.1,36,9.8,3.2,43,0,PortJe00
63,Duce Staley,PHI,27,RB,2002,16,16,69,51,73.90%,541,10.6,3,20,60.9,45,7.8,3.2,33.8,3,StalDu00
64,Dez White,CHI,23,WR,2002,16,14,94,51,54.30%,656,12.9,4,28,42.6,76,7,3.2,41,1,WhitDe00
65,D'Wayne Bates,MIN,27,WR,2002,14,11,80,50,62.50%,689,13.8,4,35,57.5,59,8.6,3.6,49.2,2,BateDW00
66,Warrick Dunn,ATL,27,RB,2002,15,14,66,50,75.80%,377,7.5,2,16,39.4,31,5.7,3.3,25.1,4,DunnWa00
67,Tim Dwight,SDG,27,WR,2002,16,14,93,50,53.80%,623,12.5,2,33,47.3,42,6.7,3.1,38.9,1,DwigTi00
68,Bobby Engram,SEA,29,WR,2002,15,6,72,50,69.40%,619,12.4,0,43,63.9,38,8.6,3.3,41.3,2,EngrBo00
69,Curtis Martin,NYJ,29,RB,2002,16,16,56,49,87.50%,362,7.4,0,17,53.6,28,6.5,3.1,22.6,0,MartCu00
70,Fred Taylor,JAX,26,RB,2002,16,16,57,49,86.00%,408,8.3,0,15,56.1,72,7.2,3.1,25.5,3,TaylFr00
71,Reggie Wayne,IND,24,WR,2002,16,7,72,49,68.10%,716,14.6,4,35,54.2,49,9.9,3.1,44.8,2,WaynRe00
72,Garrison Hearst,SFO,31,RB,2002,16,16,69,48,69.60%,317,6.6,1,14,39.1,16,4.6,3,19.8,4,HearGa00
73,James Allen,HOU,27,RB,2002,16,5,57,47,82.50%,302,6.4,0,11,42.1,21,5.3,2.9,18.9,1,AlleJa00
74,Ron Dugans,CIN,25,WR,2002,16,5,73,47,64.40%,421,9,0,24,45.2,31,5.8,2.9,26.3,0,DugaRo00
75,Jamal Lewis,BAL,23,RB,2002,16,15,60,47,78.30%,442,9.4,1,14,36.7,77,7.4,2.9,27.6,8,LewiJa00
76,Deuce McAllister*,NOR,24,RB,2002,15,15,74,47,63.50%,352,7.5,3,15,36.5,30,4.8,3.1,23.5,4,McAlDe00
77,Antwaan Randle El,PIT,23,WR,2002,16,0,65,47,72.30%,489,10.4,2,22,50.8,36,7.5,2.9,30.6,4,RandAn00
78,Ricky Williams*+,MIA,25,RB,2002,16,16,59,47,79.70%,363,7.7,1,16,49.2,52,6.2,2.9,22.7,7,WillRi00
79,Antonio Freeman,PHI,30,WR,2002,16,1,80,46,57.50%,600,13,4,28,48.8,59,7.5,2.9,37.5,0,FreeAn00
80,James Stewart,DET,31,RB,2002,14,9,70,46,65.70%,333,7.2,2,13,38.6,52,4.8,3.3,23.8,0,StewJa00
81,Stephen Alexander,SDG,27,TE,2002,14,14,76,45,59.20%,510,11.3,1,25,43.4,32,6.7,3.2,36.4,1,AlexSt00
82,Richie Anderson,NYJ,31,FB,2002,16,14,56,45,80.40%,257,5.7,1,9,48.2,15,4.6,2.8,16.1,0,AndeRi00
83,Corey Bradford,HOU,27,WR,2002,16,16,106,45,42.50%,697,15.5,6,24,34,81,6.6,2.8,43.6,0,BradCo00
84,Antonio Bryant,DAL,21,WR,2002,16,15,93,44,47.30%,733,16.7,6,32,43,78,7.9,2.8,45.8,3,BryaAn00
85,Qadry Ismail,IND,32,WR,2002,14,14,84,44,52.40%,462,10.5,3,23,42.9,42,5.5,3.1,33,0,IsmaQa00
86,Freddie Jones,ARI,28,TE,2002,16,16,81,44,54.30%,358,8.1,1,14,40.7,24,4.4,2.8,22.4,0,JoneFr00
87,Bobby Shaw,JAX,27,WR,2002,16,10,74,44,59.50%,525,11.9,1,32,50,48,7.1,2.8,32.8,1,ShawBo00
88,Kyle Brady,JAX,30,TE,2002,16,16,67,43,64.20%,461,10.7,4,26,50.7,42,6.9,2.7,28.8,0,BradKy00
89,Deion Branch,NWE,23,WR,2002,13,7,68,43,63.20%,489,11.4,2,23,50,49,7.2,3.3,37.6,1,BranDe00
90,Larry Centers,BUF,34,FB,2002,16,7,63,43,68.30%,388,9,0,19,50.8,25,6.2,2.7,24.3,0,CentLa00
91,Corey Dillon,CIN,28,RB,2002,16,16,61,43,70.50%,298,6.9,0,18,39.3,19,4.9,2.7,18.6,5,DillCo00
92,Travis Henry*,BUF,24,RB,2002,16,16,59,43,72.90%,309,7.2,1,14,50.8,26,5.2,2.7,19.3,11,HenrTr00
93,Itula Mili,SEA,29,TE,2002,16,12,64,43,67.20%,508,11.8,2,23,53.1,49,7.9,2.7,31.8,1,MiliIt00
94,Jerome Pathon,NOR,27,WR,2002,14,13,80,43,53.80%,523,12.2,4,25,40,64,6.5,3.1,37.4,0,PathJe00
95,Marcus Pollard,IND,30,TE,2002,15,15,69,43,62.30%,478,11.1,6,21,42,41,6.9,2.9,31.9,1,PollMa00
96,Ricky Proehl,STL,34,WR,2002,16,2,70,43,61.40%,466,10.8,4,29,51.4,33,6.7,2.7,29.1,0,ProeRi00
97,Chad Lewis*,PHI,31,TE,2002,16,16,67,42,62.70%,398,9.5,3,22,52.2,30,5.9,2.6,24.9,2,LewiCh00
98,Donte' Stallworth,NOR,22,WR,2002,13,7,69,42,60.90%,594,14.1,8,26,52.2,57,8.6,3.2,45.7,0,StalDo00
99,Amos Zereoue,PIT,26,RB,2002,16,5,53,42,79.20%,341,8.1,0,15,41.5,54,6.4,2.6,21.3,2,ZereAm00
100,Kevin Dyson,TEN,27,WR,2002,11,11,69,41,59.40%,460,11.2,4,26,44.9,40,6.7,3.7,41.8,1,DysoKe00
101,Jabar Gaffney,HOU,22,WR,2002,16,14,81,41,50.60%,483,11.8,1,27,42,27,6,2.6,30.2,1,GaffJa00
102,T.J. Houshmandzadeh,CIN,25,WR,2002,16,5,69,41,59.40%,492,12,1,27,52.2,31,7.1,2.6,30.8,3,HousTJ00
103,Frank Wycheck,TEN,31,TE,2002,15,15,66,40,60.60%,346,8.7,2,22,48.5,19,5.2,2.7,23.1,1,WychFr00
104,Randy McMichael,MIA,23,TE,2002,16,16,68,39,57.40%,485,12.4,4,24,50,45,7.1,2.4,30.3,1,McMiRa01
105,Dennis Northcutt,CLE,25,WR,2002,13,0,50,38,76.00%,601,15.8,5,31,72,43,12,2.9,46.2,2,NortDe00
106,Marcel Shipp,ARI,24,RB,2002,15,6,49,38,77.60%,413,10.9,3,14,49,80,8.4,2.5,27.5,4,ShipMa00
107,Michael Bennett*,MIN,24,RB,2002,16,16,41,37,90.20%,351,9.5,1,16,58.5,45,8.6,2.3,21.9,4,BennMi00
108,Andre' Davis,CLE,23,WR,2002,16,4,72,37,51.40%,420,11.4,6,6,11.1,31,5.8,2.3,26.3,1,DaviAn01
109,Kevin Faulk,NWE,26,RB,2002,15,0,53,37,69.80%,379,10.2,3,14,45.3,36,7.2,2.5,25.3,1,FaulKe00
110,Az-Zahir Hakim,DET,25,WR,2002,10,10,82,37,45.10%,541,14.6,3,26,39,64,6.6,3.7,54.1,0,HakiAz00
111,Joe Jurevicius,TAM,28,WR,2002,15,3,52,37,71.20%,423,11.4,4,24,61.5,26,8.1,2.5,28.2,1,JureJo00
112,Jim Kleinsasser,MIN,25,TE,2002,14,12,50,37,74.00%,393,10.6,1,22,62,39,7.9,2.6,28.1,0,KleiJi00
113,Josh Reed,BUF,22,WR,2002,16,2,59,37,62.70%,509,13.8,2,23,52.5,42,8.6,2.3,31.8,1,ReedJo01
114,Alge Crumpler,ATL,25,TE,2002,16,9,58,36,62.10%,455,12.6,5,26,51.7,33,7.8,2.3,28.4,0,CrumAl00
115,Eddie George,TEN,29,RB,2002,16,16,46,36,78.30%,255,7.1,2,11,60.9,14,5.5,2.3,15.9,1,GeorEd00
116,Eric Johnson,SFO,23,TE,2002,12,10,65,36,55.40%,321,8.9,0,12,46.2,38,4.9,3,26.8,0,JohnEr00
117,Bill Schroeder,DET,31,WR,2002,14,13,77,36,46.80%,595,16.5,5,27,44.2,46,7.7,2.6,42.5,0,SchrBi00
118,Mike Alstott*,TAM,29,FB,2002,16,9,48,35,72.90%,242,6.9,2,11,54.2,44,5,2.2,15.1,4,AlstMi00
119,Ashley Lelie,DEN,22,WR,2002,16,1,53,35,66.00%,525,15,2,24,60.4,48,9.9,2.2,32.8,0,LeliAs00
120,Cory Schlesinger,DET,30,FB,2002,16,14,54,35,64.80%,263,7.5,0,13,38.9,43,4.9,2.2,16.4,2,SchlCo00
121,Byron Chamberlain,MIN,31,TE,2002,13,9,50,34,68.00%,389,11.4,0,15,60,61,7.8,2.6,29.9,0,ChamBy00
122,Ernie Conwell,STL,30,TE,2002,16,11,48,34,70.80%,419,12.3,2,18,52.1,52,8.7,2.1,26.2,0,ConwEr00
123,Ken Dilger,TAM,31,TE,2002,16,15,48,34,70.80%,329,9.7,2,14,58.3,40,6.9,2.1,20.6,1,DilgKe00
124,Rob Konrad,MIA,26,FB,2002,16,12,45,34,75.60%,233,6.9,3,14,62.2,19,5.2,2.1,14.6,2,KonrRo00
125,Frank Sanders,ARI,29,WR,2002,12,12,58,34,58.60%,400,11.8,2,22,53.4,37,6.9,2.8,33.3,0,SandFr00
126,Drew Bennett,TEN,24,WR,2002,16,7,64,33,51.60%,478,14.5,2,26,42.2,53,7.5,2.1,29.9,0,BennDr00
127,Clinton Portis,DEN,21,RB,2002,16,12,49,33,67.30%,364,11,2,16,51,66,7.4,2.1,22.8,5,PortCl00
128,David Boston,ARI,24,WR,2002,8,8,75,32,42.70%,512,16,1,28,40,34,6.8,4,64,0,BostDa00
129,Doug Jolley,OAK,23,TE,2002,16,3,37,32,86.50%,409,12.8,2,20,70.3,33,11.1,2,25.6,0,JollDo00
130,Jay Riemersma,BUF,29,TE,2002,16,15,48,32,66.70%,350,10.9,0,26,58.3,29,7.3,2,21.9,0,RiemJa00
131,J.J. Stokes,SFO,30,WR,2002,13,8,55,32,58.20%,332,10.4,1,17,40,51,6,2.5,25.5,0,StokJ.00
132,Kenny Watson,WAS,24,RB,2002,16,4,43,32,74.40%,253,7.9,1,6,32.6,62,5.9,2,15.8,0,WatsKe00
133,Antowain Smith,NWE,30,RB,2002,16,15,42,31,73.80%,243,7.8,2,11,42.9,35,5.8,1.9,15.2,2,SmitAn00
134,Lamar Gordon,STL,22,RB,2002,13,5,38,30,78.90%,278,9.3,2,13,65.8,25,7.3,2.3,21.4,4,GordLa00
135,Santana Moss,NYJ,23,WR,2002,15,3,52,30,57.70%,433,14.4,4,21,46.2,47,8.3,2,28.9,2,MossSa00
136,James McKnight,MIA,30,WR,2002,15,9,47,29,61.70%,528,18.2,2,18,51.1,77,11.2,1.9,35.2,2,McKnJa00
137,Johnnie Morton,KAN,31,WR,2002,14,14,64,29,45.30%,397,13.7,1,25,45.3,30,6.2,2.1,28.4,0,MortJo00
138,Anthony Becht,NYJ,25,TE,2002,16,15,44,28,63.60%,243,8.7,5,19,56.8,21,5.5,1.8,15.2,0,BechAn00
139,Christian Fauria,NWE,31,TE,2002,16,13,40,27,67.50%,253,9.4,7,16,62.5,33,6.3,1.7,15.8,0,FaurCh00
140,Ike Hilliard,NYG,26,WR,2002,7,7,47,27,57.40%,386,14.3,2,21,55.3,38,8.2,3.9,55.1,0,HillIk00
141,Shawn Jefferson,ATL,33,WR,2002,13,7,49,27,55.10%,394,14.6,1,18,46.9,63,8,2.1,30.3,0,JeffSh00
142,Mikhael Ricks,DET,28,TE,2002,14,12,68,27,39.70%,339,12.6,3,16,36.8,49,5,1.9,24.2,0,RickMi00
143,Matt Schobel,CIN,24,TE,2002,16,10,36,27,75.00%,212,7.9,2,13,50,20,5.9,1.7,13.3,0,SchoMa00
144,Moe Williams,MIN,28,RB,2002,16,0,43,27,62.80%,251,9.3,0,9,44.2,36,5.8,1.7,15.7,1,WillMo00
145,Roland Williams,OAK,27,TE,2002,16,12,40,27,67.50%,213,7.9,0,12,60,19,5.3,1.7,13.3,1,WillRo01
146,William Henderson,GNB,31,FB,2002,15,12,32,26,81.30%,168,6.5,3,12,62.5,17,5.3,1.7,11.2,0,HendWi00
147,Jerramy Stevens,SEA,23,TE,2002,12,1,42,26,61.90%,252,9.7,3,15,45.2,29,6,2.2,21,1,StevJe00
148,Scotty Anderson,DET,23,WR,2002,16,4,56,25,44.60%,322,12.9,1,20,37.5,34,5.8,1.6,20.1,1,AndeSc00
149,Mark Campbell,CLE,27,TE,2002,16,16,46,25,54.30%,179,7.2,3,9,37,26,3.9,1.6,11.2,0,CampMa00
150,Trevor Gaylor,ATL,25,WR,2002,13,2,54,25,46.30%,385,15.4,3,21,42.6,74,7.1,1.9,29.6,0,GaylTr00
151,Willie Jackson,2TM,31,WR,2002,12,2,53,25,47.20%,257,10.3,1,0,0,29,4.8,2.1,21.4,2,JackWi00
152,Jason McAddley,ARI,23,WR,2002,9,8,69,25,36.20%,362,14.5,1,18,33.3,42,5.2,2.8,40.2,0,McAdJa00
153,Pete Mitchell,JAX,31,TE,2002,16,11,36,25,69.40%,246,9.8,2,14,63.9,45,6.8,1.6,15.4,0,MitcPe00
154,Brandon Stokley,BAL,26,WR,2002,8,5,52,24,46.20%,357,14.9,2,16,42.3,35,6.9,3,44.6,1,StokBr00
155,Anthony Thomas,CHI,25,RB,2002,12,12,41,24,58.50%,163,6.8,0,4,34.1,19,4,2,13.6,5,ThomAn01
156,Stephen Davis,WAS,28,RB,2002,12,12,33,23,69.70%,142,6.2,1,3,42.4,14,4.3,1.9,11.8,4,DaviSt00
157,Marc Edwards,NWE,28,FB,2002,16,10,32,23,71.90%,196,8.5,0,10,56.3,27,6.1,1.4,12.3,1,EdwaMa00
158,Terance Mathis,PIT,35,WR,2002,16,0,40,23,57.50%,218,9.5,2,14,50,22,5.5,1.4,13.6,0,MathTe00
159,Tony McGee,DAL,31,TE,2002,16,16,30,23,76.70%,294,12.8,1,15,66.7,58,9.8,1.4,18.4,0,McGeTo00
160,Javon Walker,GNB,24,WR,2002,15,2,50,23,46.00%,319,13.9,1,14,38,30,6.4,1.5,21.3,1,WalkJa00
161,Fred Beasley,SFO,28,FB,2002,16,14,32,22,68.80%,152,6.9,1,8,40.6,25,4.8,1.4,9.5,0,BeasFr00
162,Reche Caldwell,SDG,23,WR,2002,16,2,43,22,51.20%,208,9.5,3,14,41.9,26,4.8,1.4,13,3,CaldRe00
163,Dan Campbell,NYG,26,TE,2002,16,16,31,22,71.00%,175,8,1,10,51.6,27,5.6,1.4,10.9,0,CampDa00
164,Germane Crowell,DET,26,WR,2002,10,5,47,22,46.80%,201,9.1,1,11,36.2,22,4.3,2.2,20.1,0,CrowGe00
165,Ron Dixon,NYG,26,WR,2002,10,3,36,22,61.10%,377,17.1,2,18,58.3,33,10.5,2.2,37.7,1,DixoRo00
166,Robert Ferguson,GNB,23,WR,2002,16,1,52,22,42.30%,293,13.3,3,15,38.5,40,5.6,1.4,18.3,0,FergRo00
167,Fred McCrary,SDG,30,FB,2002,16,16,31,22,71.00%,96,4.4,3,5,29,25,3.1,1.4,6,1,McCrFr00
168,Darnay Scott,DAL,30,WR,2002,15,1,35,22,62.90%,218,9.9,1,13,45.7,17,6.2,1.5,14.5,0,ScotDa00
169,Mack Strong,SEA,31,FB,2002,16,12,32,22,68.80%,120,5.5,2,5,43.8,12,3.8,1.4,7.5,0,StroMa00
170,Dwayne Carswell,DEN,30,TE,2002,16,7,29,21,72.40%,189,9,1,9,55.2,19,6.5,1.3,11.8,0,CarsDw00
171,JaJuan Dawson,HOU,25,WR,2002,14,2,39,21,53.80%,286,13.6,0,17,46.2,28,7.3,1.5,20.4,1,DawsJa00
172,Troy Hambrick,DAL,26,RB,2002,16,0,24,21,87.50%,99,4.7,0,1,25,14,4.1,1.3,6.2,2,HambTr00
173,MarTay Jenkins,ARI,27,WR,2002,8,1,43,21,48.80%,250,11.9,1,13,44.2,65,5.8,2.6,31.3,0,JenkMa00
174,Darnerien McCants,WAS,26,WR,2002,9,1,41,21,51.20%,256,12.2,2,16,43.9,32,6.2,2.3,28.4,1,McCaDa00
