Player,totalYds,YPG,Height (in),Arm Length (in),40 Yard,Vert Leap (in),Broad Jump (in)
Denarius Moore,2169,42,71.63,33,4.43,36,118
Gabriel Davis,1984,42,74.0,32.25,4.54,35,124
Davone Bess,3809,41,69.88,30.13,4.77,31.5,118
Mark Clayton,3448,41,70.38,30.63,4.43,36.5,117
Allen Hurns,3380,41,73.25,32,4.55,31,120
Rueben Randle,2644,41,74.88,33,4.55,31,121
Steve Smith,2641,41,71.75,32.25,4.45,38,120
Terrance Williams,3377,40,74.0,31.28,4.52,32.5,119
Kevin Curtis,3297,40,71.1,30.38,4.46,36,122
Donovan Peoples-Jones,1740,40,73.63,33.5,4.48,44.5,139
Travis Taylor,4017,39,72.9,31.5,4.43,37,118
Steve Breaston,3387,39,72.38,33.25,4.48,33,124
David Givens,2318,39,72.0,31.5,4.57,40.5,124
Allen Lazard,2236,39,76.63,32.25,4.55,38,122
Az-Zahir Hakim,4191,38,69.6,30.5,4.45,36,122
Michael Floyd,3959,38,74.63,32.88,4.4,36.5,122
Rishard Matthews,2712,38,72.38,32.5,4.54,36,123
K.J. Osborn,1305,38,72.0,31.25,4.48,37.5,123
Titus Young,990,38,71.38,30.88,4.43,35,123
Nico Collins,927,38,76.13,34.125,4.45,37.5,125
Rondale Moore,849,38,67.0,28.25,4.32,42.5,126
Jerricho Cotchery,6623,37,72.5,31,4.56,36,121
Kenny Stills,4911,37,72.5,30.48,4.38,33.5,124
Eddie Royal,4357,37,69.63,31,4.46,36,124
Bernard Berrian,4122,37,73.0,30.5,4.58,38,128
Marquez Valdes-Scantling,2840,37,76.0,32.25,4.37,30.5,124
Marqise Lee,2184,37,71.75,31.75,4.52,38,126
D.J. Hackett,1575,37,74.5,31.25,4.55,41,131
Willie Snead,3431,36,71.0,33,4.62,33.5,112
Anthony Miller,2969,36,71.13,31.63,4.5,39,125
Curtis Samuel,2770,36,71.0,31.25,4.31,37,119
Devin Funchess,2265,36,76.25,33.5,4.7,38.5,122
Mecole Hardman,2088,36,70.25,30.25,4.33,36.5,119
