Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,O.J. McDuffie,MIA,29,WR,1998,16,16,165,90,54.50%,1050,11.7,7,59,43.6,61,6.4,5.6,65.6,0,McDuO.00
2,Frank Sanders,ARI,25,WR,1998,16,16,144,89,61.80%,1145,12.9,3,58,54.2,42,8,5.6,71.6,3,SandFr00
3,Marshall Faulk*,IND,25,RB,1998,16,15,106,86,81.10%,908,10.6,4,44,58.5,78,8.6,5.4,56.8,3,FaulMa00
4,Rod Smith,DEN,28,WR,1998,16,16,139,86,61.90%,1222,14.2,6,61,58.3,58,8.8,5.4,76.4,0,SmitRo01
5,Antonio Freeman*+,GNB,26,WR,1998,15,15,153,84,54.90%,1424,17,14,60,49.7,84,9.3,5.6,94.9,0,FreeAn00
6,Keyshawn Johnson*,NYJ,26,WR,1998,16,16,149,83,55.70%,1131,13.6,10,60,49.7,41,7.6,5.2,70.7,0,JohnKe00
7,Herman Moore,DET,29,WR,1998,15,15,129,82,63.60%,983,12,5,50,52.7,36,7.6,5.5,65.5,0,MoorHe00
8,Carl Pickens,CIN,28,WR,1998,16,16,154,82,53.20%,1023,12.5,5,48,44.2,67,6.6,5.1,63.9,2,PickCa00
9,Jerry Rice*,SFO,36,WR,1998,16,16,151,82,54.30%,1157,14.1,9,57,49,75,7.7,5.1,72.3,2,RiceJe00
10,Tim Brown,OAK,32,WR,1998,16,16,153,81,52.90%,1012,12.5,9,52,46.4,49,6.6,5.1,63.3,3,BrowTi00
11,Cris Carter*,MIN,33,WR,1998,16,16,125,78,62.40%,1011,13,12,57,56,54,8.1,4.9,63.2,0,CartCr00
12,Jimmy Smith*,JAX,29,WR,1998,16,15,133,78,58.60%,1182,15.2,8,46,52.6,72,8.9,4.9,73.9,2,SmitJi00
13,Wayne Chrebet,NYJ,25,WR,1998,16,15,115,75,65.20%,1083,14.4,8,60,60,63,9.4,4.7,67.7,0,ChreWa00
14,Michael Irvin,DAL,32,WR,1998,16,15,128,74,57.80%,1057,14.3,1,48,49.2,51,8.3,4.6,66.1,1,IrviMi00
15,Frank Wycheck*,TEN,27,TE,1998,16,16,91,70,76.90%,768,11,2,38,60.4,38,8.4,4.4,48,2,WychFr00
16,Larry Centers,ARI,30,FB,1998,16,12,94,69,73.40%,559,8.1,2,22,45.7,54,5.9,4.3,34.9,1,CentLa00
17,Rocket Ismail,CAR,29,WR,1998,16,15,121,69,57.00%,1024,14.8,8,47,44.6,62,8.5,4.3,64,2,IsmaRa00
18,Johnnie Morton,DET,27,WR,1998,16,16,140,69,49.30%,1028,14.9,2,48,45,98,7.3,4.3,64.3,0,MortJo00
19,Randy Moss*+,MIN,21,WR,1998,16,11,124,69,55.60%,1313,19,17,51,50.8,61,10.6,4.3,82.1,2,MossRa00
20,Muhsin Muhammad,CAR,25,WR,1998,16,16,106,68,64.20%,941,13.8,6,42,55.7,72,8.9,4.3,58.8,2,MuhaMu00
21,Ben Coates*,NWE,29,TE,1998,14,14,95,67,70.50%,668,10,6,45,62.1,33,7,4.8,47.7,0,CoatBe00
22,Rob Moore,ARI,30,WR,1998,16,16,146,67,45.90%,982,14.7,5,43,41.1,57,6.7,4.2,61.4,0,MoorRo00
23,Eric Moulds*,BUF,25,WR,1998,16,15,116,67,57.80%,1368,20.4,9,54,54.3,84,11.8,4.2,85.5,0,MoulEr00
24,Terrell Owens,SFO,25,WR,1998,16,10,104,67,64.40%,1097,16.4,14,53,58.7,79,10.5,4.2,68.6,1,OwenTe00
25,Courtney Hawkins,PIT,29,WR,1998,15,14,108,66,61.10%,751,11.4,1,38,52.8,53,7,4.4,50.1,1,HawkCo00
26,Tony Martin,ATL,33,WR,1998,16,16,131,66,50.40%,1181,17.9,6,56,46.6,62,9,4.1,73.8,0,MartTo00
27,Joey Galloway,SEA,27,WR,1998,16,16,132,65,49.20%,1047,16.1,10,46,43.9,81,7.9,4.1,65.4,1,GallJo00
28,Charles Johnson,PIT,26,WR,1998,16,16,124,65,52.40%,815,12.5,7,43,44.4,55,6.6,4.1,50.9,0,JohnCh00
29,Kimble Anders,KAN,32,FB,1998,16,15,84,64,76.20%,462,7.2,2,18,39.3,29,5.5,4,28.9,6,AndeKi00
30,Bobby Engram,CHI,25,WR,1998,16,16,114,64,56.10%,987,15.4,5,46,53.5,79,8.7,4,61.7,1,EngrBo00
31,Amp Lee,STL,27,RB,1998,14,2,84,64,76.20%,667,10.4,2,31,52.4,44,7.9,4.6,47.6,3,LeexAm00
32,Terance Mathis,ATL,31,WR,1998,16,16,114,64,56.10%,1136,17.8,11,54,50.9,78,10,4,71,0,MathTe00
33,Ed McCaffrey*,DEN,30,WR,1998,15,15,99,64,64.60%,1053,16.5,10,41,57.6,48,10.6,4.3,70.2,1,McCaEd00
34,Keenan McCardell,JAX,28,WR,1998,15,15,113,64,56.60%,892,13.9,6,37,51.3,67,7.9,4.3,59.5,0,McCaKe00
35,Shannon Sharpe*+,DEN,30,TE,1998,16,16,107,64,59.80%,768,12,10,46,55.1,38,7.2,4,48,0,SharSh00
36,Andre Reed,BUF,34,WR,1998,15,13,109,63,57.80%,795,12.6,5,49,56,67,7.3,4.2,53,0,ReedAn00
37,J.J. Stokes,SFO,26,WR,1998,16,11,93,63,67.70%,770,12.2,8,48,61.3,33,8.3,3.9,48.1,0,StokJ.00
38,Chris Calloway,NYG,30,WR,1998,16,16,119,62,52.10%,812,13.1,6,42,44.5,36,6.8,3.9,50.8,1,CallCh00
39,Ricky Proehl,STL,30,WR,1998,16,11,114,60,52.60%,771,12.9,3,36,44.7,47,6.8,3.8,48.2,0,ProeRi00
40,Tony Gonzalez,KAN,22,TE,1998,16,16,102,59,57.80%,621,10.5,2,33,41.2,32,6.1,3.7,38.8,3,GonzTo00
41,Marvin Harrison,IND,26,WR,1998,12,12,122,59,48.40%,776,13.2,7,40,39.3,61,6.4,4.9,64.7,0,HarrMa00
42,Mike Pritchard,SEA,29,WR,1998,16,16,101,58,57.40%,742,12.8,3,34,49.5,50,7.3,3.6,46.4,1,PritMi00
43,Freddie Jones,SDG,24,TE,1998,16,16,111,57,51.40%,602,10.6,3,27,36.9,28,5.4,3.6,37.6,1,JoneFr00
44,Duce Staley,PHI,23,RB,1998,16,13,70,57,81.40%,432,7.6,1,19,38.6,33,6.2,3.6,27,2,StalDu00
45,Derrick Alexander,KAN,27,WR,1998,15,14,107,54,50.50%,992,18.4,4,40,43.9,65,9.3,3.6,66.1,0,AlexDe00
46,Cam Cleeland,NOR,23,TE,1998,16,16,88,54,61.40%,684,12.7,6,37,52.3,53,7.8,3.4,42.8,1,CleeCa00
47,Curtis Conway,CHI,27,WR,1998,15,15,104,54,51.90%,733,13.6,3,36,49,47,7,3.6,48.9,1,ConwCu00
48,Sean Dawkins,NOR,27,WR,1998,15,15,106,53,50.00%,823,15.5,1,40,46.2,64,7.8,3.5,54.9,2,DawkSe00
49,Ricky Watters,SEA,29,RB,1998,16,16,73,52,71.20%,373,7.2,0,15,41.1,24,5.1,3.3,23.3,4,WattRi00
50,Reidel Anthony,TAM,22,WR,1998,15,13,94,51,54.30%,708,13.9,7,35,50,79,7.5,3.4,47.2,0,AnthRe00
51,Ike Hilliard,NYG,22,WR,1998,16,16,104,51,49.00%,715,14,2,28,38.5,50,6.9,3.2,44.7,2,HillIk00
52,Darnay Scott,CIN,26,WR,1998,13,13,88,51,58.00%,817,16,7,33,45.5,70,9.3,3.9,62.8,0,ScotDa00
53,Terry Glenn,NWE,24,WR,1998,10,9,98,50,51.00%,792,15.8,3,37,45.9,86,8.1,5,79.2,0,GlenTe00
54,Jerome Pathon,IND,23,WR,1998,16,15,106,50,47.20%,511,10.2,1,26,40.6,45,4.8,3.1,31.9,0,PathJe00
55,Wesley Walls*,CAR,32,TE,1998,14,14,78,49,62.80%,506,10.3,5,32,56.4,30,6.5,3.5,36.1,0,WallWe00
56,Irving Fryar,PHI,36,WR,1998,16,16,112,48,42.90%,556,11.6,2,32,33,61,5,3,34.8,0,FryaIr00
57,Oronde Gadsden,MIA,27,WR,1998,16,12,87,48,55.20%,713,14.9,7,34,48.3,50,8.2,3,44.6,2,GadsOr00
58,Mark Chmura*,GNB,29,TE,1998,15,14,74,47,63.50%,554,11.8,4,30,52.7,25,7.5,3.1,36.9,1,ChmuMa00
59,Jeff Graham,PHI,29,WR,1998,15,15,91,47,51.60%,600,12.8,2,29,44,45,6.6,3.1,40,0,GrahJe00
60,Charlie Jones,SDG,26,WR,1998,16,11,107,46,43.00%,699,15.2,3,32,36.4,56,6.5,2.9,43.7,1,JoneCh00
61,James Jett,OAK,28,WR,1998,16,16,88,45,51.10%,882,19.6,6,31,45.5,75,10,2.8,55.1,0,JettJa00
62,Torrance Small,IND,28,WR,1998,16,4,87,45,51.70%,681,15.1,7,33,41.4,53,7.8,2.8,42.6,0,SmalTo00
63,Warrick Dunn,TAM,23,RB,1998,16,14,57,44,77.20%,344,7.8,0,22,50.9,31,6,2.8,21.5,1,DunnWa00
64,Brian Mitchell,WAS,30,RB,1998,16,0,62,44,71.00%,306,7,0,14,35.5,24,4.9,2.8,19.1,3,MitcBr00
